,Isolate,AMIKACIN,CAPREOMYCIN,CIPROFLOXACIN,ETHAMBUTOL,ETHIONAMIDE,ISONIAZID,KANAMYCIN,LEVOFLOXACIN,OFLOXACIN,PARA-AMINOSALICYLIC_ACID,PYRAZINAMIDE,RIFAMPICIN,STREPTOMYCIN
6934,SAMN02053756,,S,,S,S,R,S,,S,,R,S,R
6935,SAMN02053757,,S,,R,,,R,,R,,R,R,R
6936,SAMN02053758,,S,,S,,,S,,R,,R,R,S
6937,SAMN02053759,,,,R,R,R,R,,S,,,R,S
6938,SAMN02053760,,R,,R,R,R,R,,R,,R,R,R
6939,SAMN02053761,,S,,S,S,,S,,S,,,S,S
6940,SAMN02053763,,S,,S,S,R,S,,S,,,R,R
6941,SAMN02053764,,S,,S,S,R,S,,S,,S,R,S
6942,SAMN02053765,,S,,S,S,R,S,,S,,,R,S
6943,SAMN02053766,,R,,R,R,R,R,,R,,R,R,R
6944,SAMN02053767,,S,,S,S,R,S,,S,,S,S,R
6945,SAMN02053768,,S,,R,S,R,S,,S,,R,R,R
6946,SAMN02053769,,S,,S,S,S,S,,S,,S,S,R
6947,SAMN02053770,,S,,S,S,R,S,,S,,,S,S
6948,SAMN02053771,,S,,R,R,R,S,,S,,S,R,R
6949,SAMN02053772,,S,,S,S,R,S,,S,,,R,R
6950,SAMN02053773,,R,,R,R,R,R,,R,,R,R,R
6951,SAMN02053774,,R,,R,R,R,S,,S,,S,R,R
6952,SAMN02053775,,S,,R,S,R,S,,S,,,R,R
6953,SAMN02053776,,S,,R,S,R,S,,S,,S,R,R
6954,SAMN02053777,,S,,S,S,R,S,,S,,,R,S
6955,SAMN02053778,,S,,S,S,R,S,,S,,,R,R
6956,SAMN02053779,,S,,S,S,R,S,,S,,S,S,R
6957,SAMN02053780,,S,,S,S,,S,,S,,S,S,S
6958,SAMN02053781,,S,,R,R,R,S,,R,,R,R,R
6959,SAMN02053782,,S,,S,S,R,S,,S,,,S,S
6960,SAMN02053783,,S,,R,R,R,R,,S,,R,R,R
6961,SAMN02053785,,S,,S,R,S,R,,S,,,S,S
6962,SAMN02053786,,S,,S,S,,S,,S,,S,S,R
6963,SAMN02053787,,S,,S,S,S,S,,S,,,S,S
6964,SAMN02053788,,S,,S,S,R,S,,S,,,R,S
6965,SAMN02053789,,R,,S,S,R,S,,S,,,R,S
6966,SAMN02053791,,S,,S,S,,S,,S,,S,S,R
6967,SAMN02053793,,R,,S,S,R,S,,S,,,S,S
6968,SAMN02053796,,S,,S,S,R,R,,S,,,R,S
6969,SAMN02053797,,S,,R,S,R,S,,S,,,R,R
6970,SAMN02053800,,S,,S,S,S,S,,S,,,R,S
6971,SAMN02053801,,R,,R,R,R,R,,S,,R,S,S
6972,SAMN02053802,,S,,R,R,R,S,,S,,,R,R
6973,SAMN02053803,,S,,R,S,R,S,,S,,R,R,S
6974,SAMN02053804,,S,,R,R,R,S,,S,,R,S,R
6975,SAMN02053805,,S,,R,R,R,S,,S,,R,R,S
6976,SAMN02053806,,S,,R,R,R,S,,S,,R,R,R
6977,SAMN02053807,,R,,R,R,R,R,,R,,,R,R
6978,SAMN02053808,,S,,S,S,S,S,,S,,,S,R
6979,SAMN02053809,,S,,S,S,S,S,,S,,,R,S
6980,SAMN02053810,,S,,R,S,R,S,,S,,,R,S
6981,SAMN02053811,,S,,S,S,S,S,,S,,,S,S
6982,SAMN02053812,,S,,S,S,S,S,,S,,,S,S
6983,SAMN02053813,,S,,S,S,S,S,,S,,,S,S
6984,SAMN02053814,,S,,S,S,S,S,,S,,S,S,S
6985,SAMN02053815,,S,,S,S,S,S,,S,,,S,S
6986,SAMN02053816,,S,,S,S,S,S,,S,,,S,S
6987,SAMN02053817,,S,,S,S,S,S,,S,,,S,S
6988,SAMN02053818,,S,,S,S,S,S,,S,,,S,S
6989,SAMN02053819,,S,,S,S,S,S,,S,,,S,S
6990,SAMN02053820,,S,,S,S,S,S,,S,,,S,S
6991,SAMN02053821,,S,,S,S,S,S,,S,,,S,S
6992,SAMN02053822,,S,,S,S,S,S,,S,,,S,S
6993,SAMN02053823,,S,,S,S,S,S,,S,,,S,S
6994,SAMN02053824,,S,,S,S,S,S,,S,,,S,S
6995,SAMN02231099,,,,S,,S,,,,,,S,S
6996,SAMN02231100,,,,S,,S,,,,,,S,S
