,Isolate,AMIKACIN,CAPREOMYCIN,CIPROFLOXACIN,ETHAMBUTOL,ETHIONAMIDE,ISONIAZID,KANAMYCIN,LEVOFLOXACIN,OFLOXACIN,PARA-AMINOSALICYLIC_ACID,PYRAZINAMIDE,RIFAMPICIN,STREPTOMYCIN
0,00R0025,R,S,,R,R,R,R,,S,,S,R,R
1,00R0086,R,R,,R,R,R,R,,S,,R,R,R
2,00R0178,R,R,,R,R,R,R,,R,,R,R,R
3,00R0223,,,,S,,S,S,,,,,S,S
4,00R0312,,R,,R,,R,R,,,,,R,R
5,00R0435,S,,,R,R,R,S,,S,,R,R,R
6,00R0453,,R,,R,,R,R,,R,,,R,R
7,00R1399,R,R,,R,R,R,R,,S,,R,R,R
8,00R1549,R,R,,R,R,R,R,,S,,S,R,R
9,00R1566,,R,,R,R,R,R,S,S,S,R,R,R
10,01R0153,R,R,,R,R,R,R,,R,,R,R,R
11,01R0166,,,,R,R,R,S,,S,,R,R,S
12,01R0238,S,,,S,S,R,S,,S,S,S,R,S
13,01R0239,R,R,,R,S,R,R,R,R,S,S,R,S
14,01R0244,,R,,R,R,R,S,R,R,,R,R,R
15,01R0276,S,S,,R,S,R,S,R,S,S,R,R,R
16,01R0451,,,,R,,R,R,,,,R,R,R
17,01R0647,R,R,,S,R,R,R,S,S,S,R,R,R
18,01R0685,R,R,,R,S,R,R,R,R,S,S,R,R
19,01R0697,R,R,,R,,R,R,R,R,S,R,R,R
20,01R0774,R,R,,R,S,R,R,R,S,S,R,R,R
21,01R0878,,R,,R,,R,S,S,S,S,R,R,R
22,01R0880,S,S,,R,S,R,S,S,S,S,S,R,S
23,01R0897,,,,R,,R,S,S,S,S,S,R,R
24,01R0899,S,S,,R,S,R,S,S,S,S,R,R,R
25,01R0902,S,S,,R,S,R,S,R,S,S,R,R,S
26,01R0903,R,R,,R,R,R,R,R,R,S,R,R,R
27,01R0904,S,S,,R,R,R,S,S,S,S,R,R,S
28,01R0908,S,S,,R,S,R,S,S,S,S,R,R,S
29,01R0909,S,S,,R,S,R,S,S,S,S,R,R,R
30,01R1018,S,S,,R,S,R,S,S,R,S,R,R,R
31,01R1241,,R,,R,R,R,R,R,R,,S,R,R
32,01R1305,S,S,,R,S,R,S,R,S,S,R,R,S
33,01R1309,S,S,,R,R,R,S,R,R,S,R,R,S
34,01R1321,R,R,,R,S,R,R,R,R,S,R,R,R
35,01R1339,R,,,S,,R,R,R,R,S,R,R,R
36,01R1341,R,R,,R,R,R,R,R,R,,R,R,R
37,01R1386,S,S,,R,R,R,S,R,S,S,S,R,S
38,01R1387,S,S,,R,R,R,S,R,S,S,R,R,R
39,01R1466,,S,,R,R,R,S,,R,R,S,R,S
40,01R1468,,,,R,,R,R,,,,R,R,S
41,01R1499,R,R,,R,R,R,R,R,R,S,,R,R
42,01R1505,S,S,,R,S,R,S,R,R,S,R,R,R
43,01R1540,R,,,S,R,R,R,R,R,S,R,R,R
44,01R1559,S,S,,R,S,R,S,R,R,S,S,R,R
45,01R1599,S,S,,R,R,R,S,R,R,S,R,R,S
46,209397,,,,S,,S,S,,,,,S,S
47,209688,,,,S,,S,S,,,,,S,S
48,209856,,,,S,,S,S,,,,,S,S
49,209928,,,,S,,S,S,,,,,S,S
50,210028,,,,S,,S,S,,,,,S,S
51,210075,,,,S,,S,S,,,,,S,S
52,210098,,,,S,,S,S,,,,,S,R
53,02R0016,R,R,,R,S,R,R,S,S,S,R,R,R
54,02R0099,S,S,,R,S,R,S,,S,,S,R,R
55,02R0119,S,S,,R,S,R,S,S,S,S,R,R,S
56,02R0191,R,R,,R,R,R,R,R,R,R,R,R,R
57,02R0236,S,,,S,,R,S,S,S,,R,R,R
58,02R0237,S,S,,R,R,R,S,S,S,S,,R,S
59,02R0241,R,R,,R,R,R,R,R,R,S,S,R,R
60,02R0272,,R,,R,R,R,R,,R,S,S,R,R
61,02R0286,S,,,S,,R,S,S,S,S,S,R,S
62,02R0325,R,R,,R,S,R,R,S,S,S,S,R,R
63,02R0328,R,R,,R,R,R,R,R,R,S,R,R,R
64,02R0360,S,,,R,R,R,S,S,,S,S,R,R
65,02R0407,,,,S,,S,S,,,,S,S,S
66,02R0417,S,S,,R,R,R,S,R,R,S,R,R,S
67,02R0754,,S,,S,S,R,S,,S,S,R,R,S
68,02R0793,R,R,,R,R,R,R,R,R,R,R,R,S
69,02R0812,S,R,,R,R,R,S,S,,S,R,R,R
70,02R0848,S,S,,S,S,R,S,S,,S,R,R,R
71,02R0861,S,S,,R,R,R,S,R,R,R,R,R,S
72,02R0890,,,,S,R,R,S,,,,S,S,S
73,02R0911,,S,,R,R,R,S,,S,S,R,R,S
74,02R0951,S,S,,R,S,R,S,R,R,S,S,R,S
75,02R0971,,S,,R,S,R,S,,R,R,S,R,R
76,02R1076,,,,S,,S,S,,,,S,S,R
77,02R1101,,,,S,,S,S,,,,S,S,S
78,02R1106,,,,S,,S,S,,,,S,S,S
79,02R1114,,,,S,,S,S,,,,S,S,S
80,02R1137,,,,S,,S,S,,,,S,S,R
81,02R1140,,,,S,,S,S,,,,S,S,S
82,02R1142,,,,S,,S,S,,,,S,S,S
83,02R1191,,,,S,,S,S,,,,S,S,S
84,02R1203,,,,S,,S,S,,,,S,S,S
85,02R1210,,,,S,,S,S,,,,S,S,S
86,02R1244,,,,S,,S,S,,,,S,S,S
87,02R1262,,,,S,,S,S,,,,,S,S
88,02R1267,,,,S,,S,S,,,,,S,S
89,02R1275,,,,S,,S,S,,,,S,S,S
90,02R1288,,R,,R,R,R,R,,S,S,R,R,R
91,02R1444,S,S,,R,R,R,S,S,S,S,R,R,S
92,02R1457,,S,,R,R,R,R,,S,S,R,R,R
93,02R1479,R,R,,R,R,R,R,R,R,R,R,R,R
94,02R1485,S,R,,R,R,R,S,S,S,R,R,R,R
95,02R1527,S,S,,R,R,R,S,S,S,S,R,R,R
96,02R1543,,S,,R,S,R,S,,S,S,S,R,R
97,02R1544,,S,,S,S,R,S,,S,S,R,S,S
98,02R1589,S,S,,R,S,R,S,S,S,S,R,R,S
99,02R1641,R,S,,R,R,R,R,R,R,S,S,R,R
100,02R1645,S,S,,R,R,R,S,S,S,S,S,R,S
101,02R1681,S,,,R,R,R,S,R,R,S,R,R,R
102,02R1683,S,S,,S,R,R,S,S,S,R,S,R,S
103,02R1685,S,S,,R,R,R,S,S,S,S,R,R,S
104,02R1687,S,S,,R,S,R,S,R,R,S,R,R,R
105,02R1709,S,,,R,,R,S,R,R,S,R,R,S
106,02R1723,,R,,R,S,R,S,,S,S,R,R,S
107,02R1726,,R,,R,R,R,R,,,,S,R,R
108,02R1728,S,S,,R,R,R,S,R,R,S,R,R,R
109,02R1742,S,S,,R,R,R,S,S,R,,R,R,R
110,02R1753,,S,,R,S,R,R,,S,S,S,S,S
111,02R1789,R,R,,R,R,R,R,R,R,S,R,R,R
112,02R1793,R,R,,R,R,R,R,S,S,R,R,R,R
113,02R1825,R,R,,R,R,R,R,S,S,S,R,R,R
114,02R1854,,,,S,,S,S,,,,S,S,S
115,02R1871,S,R,,R,R,R,R,S,R,S,S,R,R
116,02R1915,,S,,S,S,R,R,,S,R,S,S,R
117,02R1940,S,R,,R,R,R,S,S,S,R,R,R,R
118,02R1941,S,R,,R,S,R,S,R,R,R,R,R,S
119,02R1942,R,R,,R,R,R,R,S,,S,R,R,R
120,02R1945,S,S,,R,S,R,S,S,,,R,R,S
121,02R1952,,R,,R,R,R,R,,R,S,R,R,S
122,310017,,,,S,,S,S,,,,S,S,S
123,310019,,,,S,,S,S,,,,S,S,S
124,310150,,,,S,,S,S,,,,,S,S
125,03R0058,S,S,,R,R,R,R,S,S,S,R,S,R
126,03R0068,,R,,S,S,R,S,,S,S,S,R,S
127,03R0070,,R,,R,R,R,R,,S,R,R,R,R
128,03R0110,,R,,R,S,R,R,,R,R,R,R,R
129,03R0154,,R,,S,R,S,S,,S,R,R,S,S
130,03R0177,,S,,R,R,R,S,,S,S,R,R,R
131,03R0194,S,S,,R,R,R,R,R,R,S,R,R,S
132,03R0268,,R,,R,R,R,R,,R,S,R,R,R
133,03R0293,,R,,R,S,R,R,,R,S,S,R,R
134,03R0319,S,S,,R,S,R,S,R,R,S,R,R,R
135,03R0327,R,R,,R,R,R,R,S,S,S,R,R,R
136,03R0411,,,,R,R,R,S,,,,S,S,R
137,03R0419,S,S,,R,S,R,S,R,R,R,R,R,R
138,03R0655,,,,R,,R,S,,,,S,R,R
139,03R0736,,,,S,,S,S,,,,S,S,S
140,03R0749,,,,S,,S,S,,,,S,S,S
141,03R0768,,,,S,,S,S,,,,S,S,S
142,03R0780,,,,S,,S,S,,,,S,S,S
143,03R0783,,,,S,,S,S,,,,S,S,S
144,03R0795,,,,S,,S,S,,,,S,S,S
145,03R0797,S,R,,R,R,R,S,R,R,R,R,R,R
146,03R0821,S,,,R,,R,S,R,R,S,R,R,R
147,03R0871,,R,,R,,R,R,,,,R,R,R
148,03R0878,,,,R,,R,S,,,,R,R,R
149,03R0908,,,,S,,S,S,,,,S,S,S
150,03R0920,S,S,,S,R,R,R,R,R,R,S,S,R
151,03R0929,,,,S,,S,S,,,,S,S,S
152,03R0951,,,,R,,R,S,,,,R,R,R
153,03R0979,S,S,,R,S,R,S,S,S,S,S,R,S
154,03R0986,S,,,S,R,R,S,S,,S,R,R,S
155,03R1082,R,R,,R,R,R,R,S,S,S,S,R,S
156,03R1084,S,R,,R,S,R,R,S,S,S,R,S,R
157,03R1176,,,,R,R,R,S,,,,R,R,R
158,03R1337,,R,,R,R,R,R,,R,S,R,R,R
159,03R1338,S,,,R,R,R,S,S,,S,R,R,R
160,03R1373,R,R,,R,R,R,R,R,R,R,R,R,R
161,03R1404,,R,,R,S,R,R,,R,S,R,R,R
162,03R1451,R,,,R,R,R,R,S,,S,S,R,R
163,03R1465,R,R,,R,S,R,R,S,S,R,R,R,R
164,03R1504,,S,,R,S,R,R,,S,S,R,R,R
165,04R0266,S,S,,R,R,R,S,S,S,,R,R,S
166,04R0273,,R,,R,R,R,R,,S,S,R,R,R
167,04R0292,R,R,,R,S,R,R,,S,S,R,R,R
168,04R0438,,S,,R,S,R,S,,S,S,R,R,R
169,1479144119992T178015lib4985nextseqn0035151bp,S,S,,R,S,R,S,S,S,,R,R,
170,1479144119992T178115lib4986nextseqn0035151bp,S,S,,R,R,R,S,S,S,,R,R,
171,1479144119992T178215lib4987nextseqn0035151bp,S,S,,R,S,R,S,S,S,,S,R,
172,1479144119992T178315lib4988nextseqn0035151bp,S,S,,S,S,R,S,S,S,,R,S,
173,1479144119992T178415lib4989nextseqn0036151bp,S,S,,S,S,R,S,S,R,,R,R,
174,1479144119992T178515lib4990nextseqn0036151bp,S,S,,S,S,R,S,S,R,,R,R,
175,1479144119992T178615lib4991nextseqn0036151bp,S,S,,R,R,R,S,S,S,,S,R,
176,1479144119992T178715lib4992nextseqn0036151bp,S,S,,R,S,R,S,S,S,,R,R,
177,1479144813357T180115lib5006nextseqn0035151bp,R,S,,R,S,R,R,S,S,,R,R,
178,1479144813357T180215lib5007nextseqn0035151bp,S,S,,S,S,S,S,S,S,,S,R,
179,1479144813357T180315lib5008nextseqn0036151bp,S,S,,R,S,R,S,S,S,,R,R,
180,1479144813357T180415lib5009nextseqn0035151bp,S,S,,S,S,R,S,S,S,,S,R,
181,1479144813357T180515lib5010nextseqn0035151bp,S,S,,R,R,R,S,S,S,,S,R,
182,1479144813357T180615lib5011nextseqn0035151bp,S,S,,S,S,R,S,S,S,,S,R,
183,1479144813357T180715lib5012nextseqn0035151bp,S,S,,S,S,R,S,S,S,,S,S,
184,1479144813357T181615lib5021nextseqn0035151bp,S,S,,S,R,R,S,S,S,,R,R,
185,1479144813357T181715lib5022nextseqn0035151bp,S,S,,R,S,R,S,S,S,,R,R,
186,1479144813357T181815lib5023nextseqn0035151bp,S,S,,R,R,R,S,R,R,,R,R,
187,1479144813357T181915lib5024nextseqn0036151bp,S,S,,S,R,S,S,S,S,,S,R,
188,1479144813357T182015lib5025nextseqn0035151bp,S,S,,R,S,R,S,S,S,,R,R,
189,1479146369267T182115lib5026nextseqn0035151bp,S,S,,S,R,R,S,S,S,,R,R,
190,1479146369267T182215lib5027nextseqn0035151bp,S,S,,S,S,R,S,S,S,,S,R,
191,1479146369267T182315lib5028nextseqn0035151bp,S,S,,R,S,R,S,S,S,,R,R,
192,1479146369267T182415lib5029nextseqn0036151bp,S,S,,R,S,R,S,S,R,,R,R,
193,1479146369267T182515lib5030nextseqn0036151bp,S,S,,R,S,R,S,S,S,,S,R,
194,1479146369267T182615lib5031nextseqn0036151bp,S,S,,S,R,R,S,S,S,,R,R,
195,1479146369267T182715lib5032nextseqn0036151bp,S,S,,S,S,R,S,S,S,,S,R,
196,1479146369267T182815lib5033nextseqn0036151bp,S,S,,R,S,R,S,S,S,,S,R,
197,1479146369267T182915lib5034nextseqn0036151bp,S,S,,R,R,R,S,S,S,,S,R,
198,1479146369267T183015lib5035nextseqn0036151bp,S,S,,S,S,R,,S,S,,S,R,
199,1479146369267T183115lib5036nextseqn0036151bp,S,S,,R,S,R,S,S,S,,R,R,
200,1479146369267T183215lib5037nextseqn0035151bp,S,S,,S,S,R,S,S,S,,R,S,
201,1479146369267T183315lib5038nextseqn0035151bp,S,S,,R,S,R,S,S,S,,R,R,
202,1479146369267T183415lib5039nextseqn0035151bp,S,S,,S,S,R,S,S,S,,R,R,
203,1479146369267T183515lib5040nextseqn0036151bp,S,S,,R,S,R,S,S,S,,R,R,
204,1479146369267T183615lib5041nextseqn0035151bp,S,S,,R,S,R,S,S,S,,R,R,
205,1479146369267T183715lib5042nextseqn0035151bp,S,S,,S,S,R,S,S,S,,S,R,
206,1479146369267T183815lib5043nextseqn0035151bp,S,S,,S,S,R,S,S,S,,R,S,
207,1479146369267T183915lib5044nextseqn0036151bp,S,S,,S,S,R,S,S,S,,S,R,
208,1479146369267T184015lib5045nextseqn0036151bp,S,S,,S,S,R,S,S,S,,S,R,
209,1479146369267T184115lib5046nextseqn0035151bp,S,S,,R,S,R,S,S,S,,S,R,
210,1479146369267T184215lib5047nextseqn0035151bp,S,S,,R,S,R,S,S,S,,S,R,
211,1479146369267T184315lib5048nextseqn0036151bp,S,S,,S,S,S,S,S,S,,S,R,
212,1479146369267T184415lib5049nextseqn0036151bp,S,S,,R,R,R,S,S,S,,R,R,
213,1479146369267T184515lib5050nextseqn0036151bp,S,S,,S,S,R,S,S,S,,R,R,
214,1479146369267T184615lib5051nextseqn0036151bp,S,S,,S,S,R,S,S,S,,R,R,
215,1479146369267T184715lib5052nextseqn0035151bp,S,S,,S,S,R,S,S,S,,S,S,
216,1479146369267T184815lib5053nextseqn0035151bp,S,S,,R,S,R,S,S,S,,R,R,
217,1479146369267T184915lib5054nextseqn0035151bp,S,S,,R,R,R,S,S,S,,R,R,
218,1479146369267T185015lib5055nextseqn0035151bp,S,S,,S,S,R,S,S,S,,S,R,
219,1479146369267T185115lib5056nextseqn0035151bp,S,S,,R,S,R,S,S,S,,S,R,
220,1479146369267T185215lib5057nextseqn0035151bp,S,S,,R,S,R,S,S,S,,S,R,
221,1479146369267T185315lib5058nextseqn0035151bp,S,S,,S,S,R,S,S,S,,R,R,
222,1479146369267T185415lib5059nextseqn0035151bp,S,S,,R,S,R,S,S,S,,R,R,
223,1479146369267T185515lib5060nextseqn0035151bp,S,S,,S,S,R,S,S,S,,S,S,
224,1479146369267T185615lib5061nextseqn0035151bp,S,S,,S,S,S,S,S,S,,S,S,
225,1479146369267T185715lib5063nextseqn0036151bp,S,S,,S,S,R,S,S,S,,S,R,
226,1479146369267T185815lib5062nextseqn0035151bp,S,S,,R,S,R,S,S,S,,R,R,
227,1479146369267T888215lib5603nextseqn0048151bp,S,S,,S,R,R,S,S,S,,R,R,
228,1479146369267T888315lib5604nextseqn0048151bp,S,S,,R,R,R,S,S,S,,S,R,
229,1479146369267T888415lib5605nextseqn0048151bp,S,S,,S,S,R,S,S,S,,R,R,
230,1479146369267T888515lib5606nextseqn0048151bp,R,S,,S,R,R,R,S,S,,R,R,
231,1479146369267T888615lib5607nextseqn0048151bp,S,S,,R,R,R,S,S,S,,R,R,
232,1479146369267T888715lib5608nextseqn0048151bp,S,S,,S,R,R,S,S,S,,S,R,
233,1479146369267T888815lib5609nextseqn0048151bp,S,S,,R,S,R,S,S,S,,R,R,
234,1479146369267T889015lib5611nextseqn0048151bp,S,S,,R,S,R,S,S,S,,R,R,
235,1479146369267T889115lib5612nextseqn0048151bp,S,S,,R,S,R,S,S,S,,S,R,
236,1479146369267T889315lib5614nextseqn0048151bp,S,S,,S,R,R,S,S,S,,S,R,
237,1479149361993T889415lib5615nextseqn0048151bp,S,S,,S,S,R,S,S,S,,S,R,
238,1479149361993T893015lib5699nextseqn0050151bp,S,S,,,,,S,S,S,,,,
239,1479149361993T893215lib5701nextseqn0050151bp,S,S,,,,,S,S,S,,,,
240,1479149361993T893315lib5702nextseqn0050151bp,S,S,,,,,S,S,S,,,,
241,1479149361993T893415lib5703nextseqn0050151bp,R,S,,,,,R,S,S,,,,
242,1479149361993T893515lib5704nextseqn0050151bp,S,S,,,,,S,S,S,,,,
243,1479149361993T893615lib5719nextseqn0051151bp,S,S,,,,,S,S,S,,,,
244,1479149361993T893715lib5720nextseqn0051151bp,S,S,,R,R,R,S,S,S,,R,R,
245,1479149361993T893815lib5721nextseqn0051151bp,S,S,,,,,S,S,R,,,,
246,1479149361993T893915lib5722nextseqn0051151bp,S,S,,,,,R,R,R,,,,
247,1479149361993T894015lib5723nextseqn0051151bp,S,S,,,,,S,S,S,,,,
248,1479149361993T894115lib5724nextseqn0051151bp,S,S,,,,,S,S,S,,,,
249,1479149361993T894215lib5725nextseqn0051151bp,S,S,,,,,S,S,S,,,,
250,1479149361993T894315lib5726nextseqn0051151bp,S,S,,,,,S,S,S,,,,
251,1479149361993T894415lib5727nextseqn0051151bp,S,S,,,,,S,S,S,,,,
252,1479149361993T894515lib5728nextseqn0051151bp,R,S,,,,,R,S,S,,,,
253,1479149361993T894615lib5729nextseqn0051151bp,S,S,,,,,S,S,S,,,,
254,1479149361993T894715lib5730nextseqn0051151bp,S,S,,,,,S,S,S,,,,
255,1479149361993T894815lib5731nextseqn0051151bp,R,R,,,,,R,R,R,,,,
256,1479149361993T895015lib5732nextseqn0051151bp,S,R,,,,,R,,R,,,,
257,1479149361993T895115lib5733nextseqn0051151bp,S,S,,,,,S,S,R,,,,
258,1479149361993T895215lib5734nextseqn0051151bp,S,S,,,,,R,R,R,,,,
259,1479149361993T895315lib5735nextseqn0051151bp,S,S,,,,,S,S,S,,,,
260,1479149361993T895415lib5736nextseqn0051151bp,S,S,,,,,R,S,S,,,,
261,1479150601544T895515lib5737nextseqn0051151bp,S,S,,,,,S,S,S,,,,
262,1479150601544T895615lib5738nextseqn0051151bp,R,R,,,,,R,S,R,,,,
263,1479150601544T895715lib5739nextseqn0051151bp,S,S,,,,,R,S,S,,,,
264,1479150601544T895915lib5741nextseqn0051151bp,R,S,,,,,R,S,,,,,
265,1479150601544T896015lib5742nextseqn0051151bp,R,S,,,,,R,R,R,,,,
266,1479150601544T896215lib5744nextseqn0051151bp,S,S,,R,R,R,S,S,S,,R,R,
267,1479150601544T896315lib5745nextseqn0051151bp,R,R,,,,,R,S,S,,,,
268,1479150601544T896415lib5746nextseqn0051151bp,S,S,,,,,S,S,S,,,,
269,1479150601544T896515lib5747nextseqn0051151bp,S,S,,,,,S,R,R,,,,
270,1479150601544T896615lib5748nextseqn0051151bp,R,R,,,,,R,,R,,,,
271,1479150601544T896715lib5749nextseqn0051151bp,S,S,,R,R,R,S,S,S,,R,R,
272,1479150601544T896815lib5750nextseqn0051151bp,,S,,R,S,R,R,R,R,,R,R,
273,1479150601544T896915lib5751nextseqn0051151bp,S,S,,,,,S,S,S,,,,
274,1479150601544T897115lib5752nextseqn0051151bp,S,S,,,,,S,R,R,,,,
275,1479150601544T897315lib5754nextseqn0051151bp,S,S,,,,,S,S,S,,,,
276,1479150601544T897415lib5755nextseqn0051151bp,S,S,,,,,S,S,S,,,,
277,1479150601544T897515lib5756nextseqn0051151bp,S,S,,,,,S,S,S,,,,
278,1479150601544T897615lib5757nextseqn0051151bp,S,S,,,,,S,R,R,,,,
279,1479150601544T897715lib5758nextseqn0051151bp,S,S,,,,,R,S,S,,,,
280,1479150601544T897915lib5759nextseqn0051151bp,S,S,,,,,S,S,S,,,,
281,1479150601544T898015lib5760nextseqn0051151bp,S,S,,,,,S,S,S,,,,
282,1479150601544T898115lib5761nextseqn0051151bp,S,S,,,,,R,S,S,,,,
283,1479150601544T898315lib5762nextseqn0051151bp,S,S,,,,,S,S,S,,,,
284,1479151773189T1375914lib3391nextseqn0004151bp,S,S,,S,S,R,S,S,S,,S,R,
285,1479151773189T1376214lib3393nextseqn0004151bp,S,S,,S,R,R,S,S,S,,R,R,
286,1479151773189T1376414lib3395nextseqn0004151bp,S,S,,R,R,R,S,S,S,,R,R,
287,1479151773189T1376514lib3396nextseqn0004151bp,S,S,,R,S,R,S,S,S,,R,R,
288,1479151773189T1376714lib3398nextseqn0004151bp,S,S,,S,R,R,S,S,S,,S,S,
289,1479151773189T1376814lib3399nextseqn0004151bp,S,S,,S,S,S,S,S,S,,S,S,
290,1479151773189T1376914lib3400nextseqn0004151bp,S,S,,S,R,R,S,S,S,,S,S,
291,1479151773189T1377014lib3401nextseqn0004151bp,S,S,,R,S,R,S,S,S,,R,R,
292,1479151773189T1377114lib3402nextseqn0004151bp,S,S,,S,R,R,S,S,S,,S,S,
293,1479151773189T1377214lib3403nextseqn0004151bp,S,S,,S,S,R,S,S,S,,S,R,
294,1479151773189T1377614lib3407nextseqn0004151bp,S,R,,S,R,R,S,S,S,,R,R,
295,1479151773189T1377714lib3408nextseqn0004151bp,S,S,,S,R,R,S,S,S,,R,R,
296,1479151773189T1377814lib3409nextseqn0004151bp,S,S,,S,S,R,S,S,S,,S,R,
297,1479151773189T1377914lib3410nextseqn0004151bp,S,S,,S,S,R,S,S,S,,R,R,
298,1479151773189T1378114lib3412nextseqn0004151bp,S,S,,S,S,R,S,S,S,,R,R,
299,1479151773189T1378314lib3414nextseqn0004151bp,S,S,,S,R,R,S,S,S,,S,R,
300,1479151773189T1378414lib3415nextseqn0004151bp,S,S,,S,S,R,S,S,S,,R,R,
301,1479151773189T1378514lib3416nextseqn0004151bp,S,S,,R,R,R,S,R,R,,S,R,
302,1479151773189T1378614lib3417nextseqn0004151bp,S,S,,S,S,R,S,S,S,,R,R,
303,1479151773189T1378914lib3420nextseqn0004151bp,S,S,,S,S,R,S,S,S,,S,R,
304,1479151773189T1379114lib3422nextseqn0004151bp,S,S,,S,R,R,R,S,S,,R,R,
305,1479151773189T1379214lib3423nextseqn0004151bp,S,S,,R,S,R,S,S,S,,R,R,
306,1479151773189T898415lib5763nextseqn0051151bp,S,S,,,,,S,S,S,,,,
307,1479151773189T898515lib5764nextseqn0051151bp,R,R,,R,R,R,R,R,R,,R,R,
308,1479151773189T898615lib5765nextseqn0051151bp,S,S,,,,,S,S,S,,,,
309,1479151773189T898715lib5766nextseqn0051151bp,S,S,,,,,S,R,R,,,,
310,1479151773189T898815lib5767nextseqn0051151bp,R,R,,,,,R,S,R,,,,
311,1479151773189T898915lib5768nextseqn0051151bp,S,S,,,,,R,S,S,,,,
312,1479151773189T899015lib5769nextseqn0051151bp,S,S,,,,,S,S,S,,,,
313,1479151773189T899115lib5770nextseqn0051151bp,,S,,R,S,R,R,R,R,,R,R,
314,1479151773189T899215lib5771nextseqn0051151bp,S,S,,,,,R,S,S,,,,
315,1479153938227T1379514lib3426nextseqn0004151bp,S,S,,,S,R,S,S,S,,R,R,
316,1479153938227T1379614lib3427nextseqn0004151bp,S,S,,R,S,R,S,S,S,,R,R,
317,1479153938227T1379714lib3428nextseqn0004151bp,S,S,,S,S,R,S,S,S,,R,R,
318,1479153938227T1379814lib3429nextseqn0004151bp,S,S,,S,R,R,S,S,S,,R,R,
319,1479153938227T1379914lib3430nextseqn0004151bp,S,S,,S,S,R,S,S,S,,R,R,
320,1479153938227T1380014lib3431nextseqn0004151bp,S,S,,S,S,R,S,S,S,,S,R,
321,1479153938227T1380214lib3433nextseqn0004151bp,S,S,,S,R,R,S,S,S,,S,S,
322,1479153938227T1380314lib3434nextseqn0004151bp,S,S,,S,S,R,S,S,S,,S,R,
323,1479153938227T1380414lib3435nextseqn0004151bp,S,S,,S,R,R,S,S,S,,R,R,
324,1479153938227T1380514lib3436nextseqn0004151bp,S,S,,S,S,R,S,S,S,,S,R,
325,1479153938227T1380714lib3437nextseqn0004151bp,S,S,,S,S,S,S,S,S,,S,S,
326,1479153938227T1380814lib3438nextseqn0004151bp,S,S,,S,S,R,S,S,S,,R,R,
327,1479153938227T1380914lib3439nextseqn0005151bp,S,S,,,S,R,S,S,S,,S,R,
328,1702,R,,,S,,R,,,,S,S,R,R
329,1719,R,,,S,,R,,,,S,S,R,S
330,1726,R,,,S,,R,,,,S,S,R,S
331,1727,R,,,S,,R,,,,S,S,R,R
332,1728,R,,,S,,R,,,,S,S,R,R
333,1738,S,,,S,,R,,,,S,S,R,R
334,1739,S,,,R,,R,,,,S,S,R,R
335,1741,R,,,S,,R,,,,S,S,R,S
336,1742,R,,,R,,R,,,,S,R,R,R
337,1744,S,,,R,,R,,,,S,S,R,R
338,1745,R,,,S,,R,,,,,S,R,R
339,1753,R,,,S,,R,,,,S,S,R,S
340,1756,R,,,S,,R,,,,S,S,R,S
341,1759,R,,,R,,R,,,,S,R,R,R
342,1760,S,,,S,,R,,,,S,S,R,R
343,1761,S,,,S,,R,,,,S,,R,S
344,1762,S,,,S,,R,,,,S,S,R,R
345,1763,S,,,S,,R,,,,S,S,R,R
346,1766,R,,,S,,R,,,,S,S,R,R
347,1767,S,,,S,,R,,,,S,,R,R
348,1768,S,,,R,,R,,,,S,R,R,R
349,1770,S,,,R,,R,,,,S,S,R,R
350,1774,S,,,R,,R,,,,S,S,R,R
351,1777,R,,,R,,R,,,,S,R,R,R
352,1778,R,,,R,,R,,R,,S,,R,R
353,1780,S,,,R,,R,,,,S,S,R,R
354,1782,S,,,S,,R,,,,S,S,R,S
355,1784,S,,,S,,R,,,,S,S,R,R
356,1785,,,,R,,R,,,,S,,R,R
357,1786,S,,,R,,R,,,,S,R,R,R
358,1788,S,,,R,,R,,,,S,R,R,R
359,1789,S,,,S,,R,,,,S,,R,R
360,1791,R,,,R,,R,,,,S,,R,R
361,1793,R,,,R,,R,,,,S,,R,R
362,1795,S,,,S,,R,,,,S,,R,S
363,1796,R,,,S,,R,,,,S,,R,R
364,1803,R,,,R,,R,,,,S,S,R,R
365,1806,R,,,R,,R,,,,S,,R,R
366,1807,R,,,S,,R,,,,S,,R,R
367,1808,R,,,S,,R,,,,S,,R,S
368,1809,R,,,S,,R,,,,S,,R,R
369,1810,R,,,S,,R,,,,S,,R,R
370,1815,R,,,S,,R,,,,S,,R,S
371,1821,R,,,R,,R,,,,,S,R,R
372,1824,R,,,S,,R,,,,S,S,R,R
373,1828,R,,,S,,R,,,,S,S,R,R
374,1830,R,,,S,,R,,,,S,S,R,R
375,1831,R,,,S,,R,,,,S,R,R,R
376,1832,R,,,R,,R,,,,S,S,R,R
377,1833,R,,,R,,R,,,,S,R,R,R
378,1834,R,,,R,,R,,,,S,S,R,R
379,1836,R,,,R,,R,,,,S,,R,R
380,1837,R,,,S,,R,,,,S,S,R,S
381,1841,R,,,R,,R,,,,S,R,R,R
382,1851,R,,,R,,R,,,,S,S,R,S
383,1852,R,,,S,,R,,,,S,S,R,S
384,1853,R,,,S,,R,,,,S,S,R,R
385,1854,R,,,,,R,,,,,,R,
