Drug,Lineage,Percentage of Strains that are Resistant,Number of Resistant Strains,Number of Susceptible Strains,No Results
inh,1.2.2,24.497991967871485,61,178,10
inh,"1.2.2,3.1.2",100.0,1,0,0
inh,2,0.0,0,1,0
inh,"2,4.3.2.1",0.0,0,1,0
inh,2.1,73.6842105263158,14,4,1
inh,"2.2,3",0.0,0,1,0
inh,"2.2,4.3.2.1",0.0,0,1,0
inh,2.2.1,34.886649874055415,554,924,110
inh,"2.2.1,1.2.2",0.0,0,1,0
inh,"2.2.1,3",50.0,1,1,0
inh,"2.2.1,4",33.333333333333336,1,1,1
inh,"2.2.1,4.1.1.1",0.0,0,1,0
inh,"2.2.1,4.1.1.3",0.0,0,1,0
inh,"2.2.1,4.3.2.1",0.0,0,1,0
inh,"2.2.1,4.3.4.2",0.0,0,1,0
inh,"2.2.1,4.8",50.0,1,1,0
inh,"2.2.1,6,BOV_AFRI",100.0,1,0,0
inh,"2.2.1,BOV_AFRI",0.0,0,0,1
inh,2.2.1.1,28.07017543859649,48,118,5
inh,2.2.1.2,50.0,12,12,0
inh,2.2.2,59.523809523809526,75,29,22
inh,3,31.850675138999204,401,844,14
inh,"3,4",100.0,1,0,0
inh,3.1.1,21.014492753623188,29,107,2
inh,3.1.2,27.63157894736842,21,51,4
inh,3.1.2.1,28.571428571428573,14,34,1
inh,3.1.2.2,0.0,0,17,0
inh,"3.1.2.2,1.1.1",0.0,0,1,0
inh,4,50.0,24,19,5
inh,4.1,48.38709677419355,30,30,2
inh,"4.1,1.2.2",100.0,1,0,0
inh,"4.1,2.2.1,4.8",0.0,0,1,0
inh,4.1.1,26.666666666666668,12,32,1
inh,4.1.1.1,16.091954022988507,28,118,28
inh,"4.1.1.1,2.2",100.0,1,0,0
inh,4.1.1.2,4.3478260869565215,2,44,0
inh,4.1.1.3,20.0,57,212,16
inh,4.1.2,9.821428571428571,11,97,4
inh,"4.1.2,1.2.2",0.0,0,1,0
inh,"4.1.2,4.2.2",0.0,0,1,0
inh,4.1.2.1,17.142857142857142,114,514,37
inh,"4.1.2.1,2.2.1",66.66666666666667,2,1,0
inh,"4.1.2.1,3",0.0,0,1,0
inh,"4.1.2.1,4.4.1",0.0,0,1,0
inh,"4.1.2.1,4.7",0.0,0,1,0
inh,4.2.1,19.875776397515526,32,121,8
inh,"4.2.1,4.7",100.0,1,0,0
inh,4.2.2,52.94117647058823,54,47,1
inh,4.2.2.1,66.66666666666667,18,8,1
inh,4.3,0.0,0,4,0
inh,"4.3,2.2.1",100.0,1,0,0
inh,4.3.1,10.526315789473685,4,30,4
inh,4.3.2,24.358974358974358,19,56,3
inh,4.3.2.1,10.666666666666666,32,265,3
inh,"4.3.2.1,4.3.4",0.0,0,1,0
inh,4.3.3,47.397260273972606,173,170,22
inh,"4.3.3,1.1.3",0.0,0,1,0
inh,"4.3.3,2.2.1",50.0,1,1,0
inh,"4.3.3,3.1.1",100.0,1,0,0
inh,"4.3.3,4.1.1",0.0,0,1,0
inh,"4.3.3,4.1.2",0.0,0,3,0
inh,"4.3.3,4.3.2.1",100.0,2,0,0
inh,4.3.4,50.0,1,1,0
inh,4.3.4.1,23.333333333333332,14,45,1
inh,4.3.4.2,40.0,52,73,5
inh,"4.3.4.2,3.1.2.1",100.0,1,0,0
inh,4.3.4.2.1,12.598425196850394,16,111,0
inh,"4.3.4.2.1,1.1.2",0.0,0,1,0
inh,4.4,12.5,1,7,0
inh,4.4.1.1,27.393617021276597,103,261,12
inh,"4.4.1.1,3",0.0,0,2,0
inh,"4.4.1.1,4.1.2",0.0,0,4,0
inh,"4.4.1.1,4.3.3",0.0,0,1,0
inh,"4.4.1.1,4.3.4.2.1",66.66666666666667,2,1,0
inh,"4.4.1.1,4.6.1.2",100.0,1,0,0
inh,4.4.1.2,0.0,0,85,5
inh,4.4.2,17.391304347826086,4,18,1
inh,4.5,31.11111111111111,28,57,5
inh,"4.5,1.1.2",100.0,1,0,0
inh,"4.5,1.2.1",0.0,0,2,0
inh,4.6,0.0,0,8,1
inh,4.6.1.1,9.090909090909092,1,9,1
inh,4.6.1.2,63.1578947368421,12,7,0
inh,4.6.2,10.714285714285714,3,25,0
inh,4.6.2.1,12.5,1,7,0
inh,4.6.2.2,25.37313432835821,17,45,5
inh,4.7,13.636363636363637,9,52,5
inh,4.8,19.814814814814813,107,410,23
inh,"4.8,4.1.1.3",100.0,2,0,0
inh,"4.8,4.3.4.1",0.0,0,2,0
inh,4.9,27.40740740740741,37,95,3
inh,5,13.333333333333334,2,11,2
inh,"5,6,BOV_AFRI",0.0,0,1,0
inh,6,0.0,0,1,1
inh,"6,BOV_AFRI",13.88888888888889,5,27,4
inh,BOV_AFRI,3.5294117647058822,3,75,7
kan,1,0.0,0,1,2
kan,"1,2.2.1",0.0,0,0,1
kan,1.1,0.0,0,0,1
kan,1.1.1,0.0,0,2,34
kan,1.1.1.1,0.0,0,2,18
kan,1.1.2,0.0,0,24,248
kan,"1.1.2,1.2.2",0.0,0,0,1
kan,"1.1.2,3",0.0,0,2,0
kan,"1.1.2,4",0.0,0,4,2
kan,"1.1.2,4.3.2.1",0.0,0,1,0
kan,"1.1.2,4.4",0.0,0,0,1
kan,1.1.3,0.0,0,17,293
kan,"1.1.3,1.1.2",0.0,0,0,3
kan,"1.1.3,2.2.1.2",0.0,0,0,1
kan,"1.1.3,3",0.0,0,0,1
kan,"1.1.3,4.1.1.1",0.0,0,0,1
kan,"1.1.3,4.5",0.0,0,0,1
kan,1.2.1,0.0,0,6,269
kan,1.2.2,0.0,0,30,219
kan,"1.2.2,3.1.2",0.0,0,0,1
kan,2,0.0,0,1,0
kan,"2,4.3.2.1",0.0,0,1,0
kan,2.1,0.0,0,1,18
kan,"2.2,3",0.0,0,0,1
kan,"2.2,4.3.2.1",0.0,0,1,0
kan,2.2.1,2.8337531486146097,45,438,1105
kan,"2.2.1,1.2.2",0.0,0,1,0
kan,"2.2.1,3",0.0,0,1,1
kan,"2.2.1,4",0.0,0,1,2
kan,"2.2.1,4.1.1.1",0.0,0,0,1
kan,"2.2.1,4.1.1.3",0.0,0,0,1
kan,"2.2.1,4.3.2.1",0.0,0,1,0
kan,"2.2.1,4.3.4.2",0.0,0,0,1
kan,"2.2.1,4.8",0.0,0,0,2
kan,"2.2.1,6,BOV_AFRI",0.0,0,0,1
kan,"2.2.1,BOV_AFRI",0.0,0,0,1
kan,2.2.1.1,0.0,0,53,118
kan,2.2.1.2,0.0,0,2,22
kan,2.2.2,14.285714285714286,18,18,90
kan,3,0.23828435266084194,3,157,1099
kan,"3,4",0.0,0,0,1
kan,3.1.1,0.0,0,28,110
kan,3.1.2,0.0,0,6,70
kan,3.1.2.1,0.0,0,4,45
kan,3.1.2.2,0.0,0,0,17
kan,"3.1.2.2,1.1.1",0.0,0,0,1
kan,4,2.0833333333333335,1,8,39
kan,4.1,0.0,0,12,50
kan,"4.1,1.2.2",0.0,0,1,0
kan,"4.1,2.2.1,4.8",0.0,0,1,0
kan,4.1.1,0.0,0,14,31
kan,4.1.1.1,0.5747126436781609,1,37,136
kan,"4.1.1.1,2.2",0.0,0,1,0
kan,4.1.1.2,0.0,0,7,39
kan,4.1.1.3,1.4035087719298245,4,87,194
kan,4.1.2,0.8928571428571429,1,35,76
kan,"4.1.2,1.2.2",0.0,0,1,0
kan,"4.1.2,4.2.2",0.0,0,1,0
kan,4.1.2.1,0.3007518796992481,2,77,586
kan,"4.1.2.1,2.2.1",66.66666666666667,2,0,1
kan,"4.1.2.1,3",0.0,0,0,1
kan,"4.1.2.1,4.4.1",0.0,0,0,1
kan,"4.1.2.1,4.7",0.0,0,0,1
kan,4.2.1,0.0,0,2,159
kan,"4.2.1,4.7",0.0,0,0,1
kan,4.2.2,0.9803921568627451,1,5,96
kan,4.2.2.1,0.0,0,1,26
kan,4.3,0.0,0,0,4
kan,"4.3,2.2.1",0.0,0,0,1
kan,4.3.1,2.6315789473684212,1,1,36
kan,4.3.2,0.0,0,14,64
kan,4.3.2.1,0.0,0,193,107
kan,"4.3.2.1,4.3.4",0.0,0,1,0
kan,4.3.3,5.205479452054795,19,102,244
kan,"4.3.3,1.1.3",0.0,0,0,1
kan,"4.3.3,2.2.1",50.0,1,0,1
kan,"4.3.3,3.1.1",0.0,0,0,1
kan,"4.3.3,4.1.1",0.0,0,1,0
kan,"4.3.3,4.1.2",0.0,0,1,2
kan,"4.3.3,4.3.2.1",50.0,1,0,1
kan,4.3.4,0.0,0,0,2
kan,4.3.4.1,0.0,0,11,49
kan,4.3.4.2,0.7692307692307693,1,14,115
kan,"4.3.4.2,3.1.2.1",0.0,0,1,0
kan,4.3.4.2.1,3.1496062992125986,4,55,68
kan,"4.3.4.2.1,1.1.2",0.0,0,0,1
kan,4.4,0.0,0,1,7
kan,4.4.1.1,0.5319148936170213,2,155,219
kan,"4.4.1.1,3",0.0,0,2,0
kan,"4.4.1.1,4.1.2",0.0,0,2,2
kan,"4.4.1.1,4.3.3",0.0,0,1,0
kan,"4.4.1.1,4.3.4.2.1",0.0,0,1,2
kan,"4.4.1.1,4.6.1.2",0.0,0,1,0
kan,4.4.1.2,0.0,0,0,90
kan,4.4.2,0.0,0,5,18
kan,4.5,0.0,0,6,84
kan,"4.5,1.1.2",0.0,0,0,1
kan,"4.5,1.2.1",0.0,0,0,2
kan,4.6,0.0,0,0,9
kan,4.6.1.1,0.0,0,6,5
kan,4.6.1.2,0.0,0,7,12
kan,4.6.2,0.0,0,2,26
kan,4.6.2.1,0.0,0,0,8
kan,4.6.2.2,0.0,0,2,65
kan,4.7,0.0,0,9,57
kan,4.8,0.7407407407407407,4,108,428
kan,"4.8,4.1.1.3",0.0,0,2,0
kan,"4.8,4.3.4.1",0.0,0,0,2
kan,4.9,0.0,0,38,97
kan,5,0.0,0,0,15
kan,"5,6,BOV_AFRI",0.0,0,0,1
kan,6,0.0,0,0,2
kan,"6,BOV_AFRI",0.0,0,5,31
kan,BOV_AFRI,0.0,0,2,83
levo,1,0.0,0,0,3
levo,"1,2.2.1",0.0,0,0,1
levo,1.1,0.0,0,0,1
levo,1.1.1,0.0,0,2,34
levo,1.1.1.1,0.0,0,2,18
levo,1.1.2,0.0,0,1,271
levo,"1.1.2,1.2.2",0.0,0,0,1
levo,"1.1.2,3",0.0,0,0,2
levo,"1.1.2,4",0.0,0,0,6
levo,"1.1.2,4.3.2.1",0.0,0,0,1
levo,"1.1.2,4.4",0.0,0,0,1
levo,1.1.3,1.6129032258064515,5,2,303
levo,"1.1.3,1.1.2",0.0,0,0,3
levo,"1.1.3,2.2.1.2",0.0,0,0,1
levo,"1.1.3,3",0.0,0,0,1
levo,"1.1.3,4.1.1.1",0.0,0,0,1
levo,"1.1.3,4.5",0.0,0,0,1
levo,1.2.1,0.0,0,0,275
levo,1.2.2,0.8032128514056225,2,0,247
levo,"1.2.2,3.1.2",0.0,0,0,1
levo,2,0.0,0,0,1
levo,"2,4.3.2.1",0.0,0,0,1
levo,2.1,0.0,0,1,18
levo,"2.2,3",0.0,0,0,1
levo,"2.2,4.3.2.1",0.0,0,0,1
levo,2.2.1,1.1964735516372795,19,85,1484
levo,"2.2.1,1.2.2",0.0,0,0,1
levo,"2.2.1,3",0.0,0,0,2
levo,"2.2.1,4",0.0,0,1,2
levo,"2.2.1,4.1.1.1",0.0,0,0,1
levo,"2.2.1,4.1.1.3",0.0,0,0,1
levo,"2.2.1,4.3.2.1",0.0,0,0,1
levo,"2.2.1,4.3.4.2",0.0,0,0,1
levo,"2.2.1,4.8",0.0,0,0,2
levo,"2.2.1,6,BOV_AFRI",0.0,0,0,1
levo,"2.2.1,BOV_AFRI",0.0,0,0,1
levo,2.2.1.1,0.0,0,16,155
levo,2.2.1.2,0.0,0,0,24
levo,2.2.2,1.5873015873015872,2,2,122
levo,3,1.3502779984114377,17,8,1234
levo,"3,4",0.0,0,0,1
levo,3.1.1,0.0,0,0,138
levo,3.1.2,1.3157894736842106,1,0,75
levo,3.1.2.1,2.0408163265306123,1,0,48
levo,3.1.2.2,0.0,0,0,17
levo,"3.1.2.2,1.1.1",0.0,0,0,1
levo,4,0.0,0,0,48
levo,4.1,0.0,0,0,62
levo,"4.1,1.2.2",0.0,0,0,1
levo,"4.1,2.2.1,4.8",0.0,0,0,1
levo,4.1.1,0.0,0,3,42
levo,4.1.1.1,1.1494252873563218,2,0,172
levo,"4.1.1.1,2.2",0.0,0,0,1
levo,4.1.1.2,0.0,0,0,46
levo,4.1.1.3,0.3508771929824561,1,0,284
levo,4.1.2,0.0,0,1,111
levo,"4.1.2,1.2.2",0.0,0,0,1
levo,"4.1.2,4.2.2",0.0,0,0,1
levo,4.1.2.1,0.45112781954887216,3,6,656
levo,"4.1.2.1,2.2.1",0.0,0,0,3
levo,"4.1.2.1,3",0.0,0,0,1
levo,"4.1.2.1,4.4.1",0.0,0,0,1
levo,"4.1.2.1,4.7",0.0,0,0,1
levo,4.2.1,0.0,0,1,160
levo,"4.2.1,4.7",0.0,0,0,1
levo,4.2.2,0.9803921568627451,1,1,100
levo,4.2.2.1,0.0,0,0,27
levo,4.3,0.0,0,0,4
levo,"4.3,2.2.1",0.0,0,0,1
levo,4.3.1,0.0,0,0,38
levo,4.3.2,0.0,0,1,77
levo,4.3.2.1,0.0,0,0,300
levo,"4.3.2.1,4.3.4",0.0,0,0,1
levo,4.3.3,0.273972602739726,1,15,349
levo,"4.3.3,1.1.3",0.0,0,0,1
levo,"4.3.3,2.2.1",0.0,0,0,2
levo,"4.3.3,3.1.1",0.0,0,0,1
levo,"4.3.3,4.1.1",0.0,0,0,1
levo,"4.3.3,4.1.2",0.0,0,0,3
levo,"4.3.3,4.3.2.1",0.0,0,0,2
levo,4.3.4,0.0,0,0,2
levo,4.3.4.1,0.0,0,3,57
levo,4.3.4.2,3.076923076923077,4,4,122
levo,"4.3.4.2,3.1.2.1",0.0,0,0,1
levo,4.3.4.2.1,0.0,0,0,127
levo,"4.3.4.2.1,1.1.2",0.0,0,0,1
levo,4.4,0.0,0,0,8
levo,4.4.1.1,0.0,0,1,375
levo,"4.4.1.1,3",0.0,0,0,2
levo,"4.4.1.1,4.1.2",0.0,0,0,4
levo,"4.4.1.1,4.3.3",0.0,0,0,1
levo,"4.4.1.1,4.3.4.2.1",0.0,0,0,3
levo,"4.4.1.1,4.6.1.2",0.0,0,0,1
levo,4.4.1.2,0.0,0,0,90
levo,4.4.2,0.0,0,1,22
levo,4.5,0.0,0,1,89
levo,"4.5,1.1.2",0.0,0,0,1
levo,"4.5,1.2.1",0.0,0,0,2
levo,4.6,0.0,0,0,9
levo,4.6.1.1,0.0,0,0,11
levo,4.6.1.2,0.0,0,0,19
levo,4.6.2,0.0,0,1,27
levo,4.6.2.1,0.0,0,0,8
levo,4.6.2.2,0.0,0,0,67
levo,4.7,0.0,0,0,66
levo,4.8,0.37037037037037035,2,5,533
levo,"4.8,4.1.1.3",0.0,0,0,2
levo,"4.8,4.3.4.1",0.0,0,0,2
levo,4.9,0.7407407407407407,1,0,134
levo,5,0.0,0,0,15
levo,"5,6,BOV_AFRI",0.0,0,0,1
levo,6,0.0,0,0,2
levo,"6,BOV_AFRI",0.0,0,0,36
levo,BOV_AFRI,0.0,0,0,85
oflx,1,0.0,0,1,2
oflx,"1,2.2.1",0.0,0,0,1
oflx,1.1,0.0,0,0,1
oflx,1.1.1,0.0,0,2,34
oflx,1.1.1.1,0.0,0,2,18
oflx,1.1.2,0.36764705882352944,1,37,234
oflx,"1.1.2,1.2.2",0.0,0,1,0
oflx,"1.1.2,3",0.0,0,2,0
oflx,"1.1.2,4",0.0,0,2,4
oflx,"1.1.2,4.3.2.1",0.0,0,1,0
oflx,"1.1.2,4.4",0.0,0,0,1
oflx,1.1.3,3.225806451612903,10,227,73
oflx,"1.1.3,1.1.2",0.0,0,1,2
oflx,"1.1.3,2.2.1.2",0.0,0,1,0
oflx,"1.1.3,3",0.0,0,1,0
oflx,"1.1.3,4.1.1.1",0.0,0,1,0
oflx,"1.1.3,4.5",0.0,0,1,0
oflx,1.2.1,0.0,0,10,265
oflx,1.2.2,2.0080321285140563,5,86,158
oflx,"1.2.2,3.1.2",0.0,0,0,1
oflx,2,0.0,0,1,0
oflx,"2,4.3.2.1",0.0,0,1,0
oflx,2.1,5.2631578947368425,1,1,17
oflx,"2.2,3",0.0,0,0,1
oflx,"2.2,4.3.2.1",0.0,0,1,0
oflx,2.2.1,3.1486146095717884,50,494,1044
oflx,"2.2.1,1.2.2",0.0,0,1,0
oflx,"2.2.1,3",0.0,0,1,1
oflx,"2.2.1,4",0.0,0,1,2
oflx,"2.2.1,4.1.1.1",0.0,0,0,1
oflx,"2.2.1,4.1.1.3",0.0,0,0,1
oflx,"2.2.1,4.3.2.1",0.0,0,1,0
oflx,"2.2.1,4.3.4.2",0.0,0,1,0
oflx,"2.2.1,4.8",0.0,0,0,2
oflx,"2.2.1,6,BOV_AFRI",0.0,0,0,1
oflx,"2.2.1,BOV_AFRI",0.0,0,0,1
oflx,2.2.1.1,2.9239766081871346,5,61,105
oflx,2.2.1.2,0.0,0,6,18
oflx,2.2.2,13.492063492063492,17,30,79
oflx,3,2.0651310563939633,26,196,1037
oflx,"3,4",0.0,0,0,1
oflx,3.1.1,0.0,0,26,112
oflx,3.1.2,1.3157894736842106,1,8,67
oflx,3.1.2.1,2.0408163265306123,1,10,38
oflx,3.1.2.2,0.0,0,0,17
oflx,"3.1.2.2,1.1.1",0.0,0,1,0
oflx,4,2.0833333333333335,1,8,39
oflx,4.1,0.0,0,10,52
oflx,"4.1,1.2.2",0.0,0,1,0
oflx,"4.1,2.2.1,4.8",0.0,0,1,0
oflx,4.1.1,2.2222222222222223,1,12,32
oflx,4.1.1.1,2.8735632183908044,5,41,128
oflx,"4.1.1.1,2.2",0.0,0,0,1
oflx,4.1.1.2,2.1739130434782608,1,5,40
oflx,4.1.1.3,2.1052631578947367,6,89,190
oflx,4.1.2,0.0,0,38,74
oflx,"4.1.2,1.2.2",0.0,0,1,0
oflx,"4.1.2,4.2.2",0.0,0,1,0
oflx,4.1.2.1,0.9022556390977443,6,98,561
oflx,"4.1.2.1,2.2.1",66.66666666666667,2,0,1
oflx,"4.1.2.1,3",0.0,0,0,1
oflx,"4.1.2.1,4.4.1",0.0,0,0,1
oflx,"4.1.2.1,4.7",0.0,0,0,1
oflx,4.2.1,0.0,0,2,159
oflx,"4.2.1,4.7",0.0,0,0,1
oflx,4.2.2,1.9607843137254901,2,13,87
oflx,4.2.2.1,0.0,0,1,26
oflx,4.3,0.0,0,0,4
oflx,"4.3,2.2.1",0.0,0,0,1
oflx,4.3.1,0.0,0,2,36
oflx,4.3.2,0.0,0,17,61
oflx,4.3.2.1,0.3333333333333333,1,186,113
oflx,"4.3.2.1,4.3.4",0.0,0,1,0
oflx,4.3.3,6.8493150684931505,25,99,241
oflx,"4.3.3,1.1.3",0.0,0,0,1
oflx,"4.3.3,2.2.1",0.0,0,0,2
oflx,"4.3.3,3.1.1",0.0,0,0,1
oflx,"4.3.3,4.1.1",0.0,0,1,0
oflx,"4.3.3,4.1.2",0.0,0,1,2
oflx,"4.3.3,4.3.2.1",50.0,1,0,1
oflx,4.3.4,0.0,0,0,2
oflx,4.3.4.1,1.6666666666666667,1,10,49
oflx,4.3.4.2,3.076923076923077,4,34,92
oflx,"4.3.4.2,3.1.2.1",0.0,0,1,0
oflx,4.3.4.2.1,0.0,0,59,68
oflx,"4.3.4.2.1,1.1.2",0.0,0,0,1
oflx,4.4,0.0,0,2,6
oflx,4.4.1.1,2.393617021276596,9,141,226
oflx,"4.4.1.1,3",0.0,0,2,0
oflx,"4.4.1.1,4.1.2",0.0,0,2,2
oflx,"4.4.1.1,4.3.3",0.0,0,1,0
oflx,"4.4.1.1,4.3.4.2.1",0.0,0,1,2
oflx,"4.4.1.1,4.6.1.2",0.0,0,1,0
oflx,4.4.1.2,0.0,0,1,89
oflx,4.4.2,4.3478260869565215,1,5,17
oflx,4.5,6.666666666666667,6,9,75
oflx,"4.5,1.1.2",0.0,0,0,1
oflx,"4.5,1.2.1",0.0,0,0,2
oflx,4.6,0.0,0,0,9
oflx,4.6.1.1,0.0,0,6,5
oflx,4.6.1.2,0.0,0,8,11
oflx,4.6.2,3.5714285714285716,1,1,26
oflx,4.6.2.1,0.0,0,2,6
oflx,4.6.2.2,0.0,0,2,65
oflx,4.7,0.0,0,9,57
oflx,4.8,0.5555555555555556,3,128,409
oflx,"4.8,4.1.1.3",0.0,0,1,1
oflx,"4.8,4.3.4.1",0.0,0,2,0
oflx,4.9,0.7407407407407407,1,40,94
oflx,5,0.0,0,0,15
oflx,"5,6,BOV_AFRI",0.0,0,0,1
oflx,6,0.0,0,0,2
oflx,"6,BOV_AFRI",0.0,0,3,33
oflx,BOV_AFRI,0.0,0,4,81
pas,1,0.0,0,1,2
pas,"1,2.2.1",0.0,0,0,1
pas,1.1,0.0,0,0,1
pas,1.1.1,0.0,0,0,36
pas,1.1.1.1,0.0,0,0,20
pas,1.1.2,0.0,0,1,271
pas,"1.1.2,1.2.2",0.0,0,0,1
pas,"1.1.2,3",0.0,0,0,2
pas,"1.1.2,4",0.0,0,0,6
pas,"1.1.2,4.3.2.1",0.0,0,0,1
pas,"1.1.2,4.4",0.0,0,0,1
pas,1.1.3,0.0,0,1,309
pas,"1.1.3,1.1.2",0.0,0,0,3
pas,"1.1.3,2.2.1.2",0.0,0,0,1
pas,"1.1.3,3",0.0,0,0,1
pas,"1.1.3,4.1.1.1",0.0,0,0,1
pas,"1.1.3,4.5",0.0,0,1,0
pas,1.2.1,0.0,0,9,266
pas,1.2.2,0.0,0,1,248
pas,"1.2.2,3.1.2",0.0,0,0,1
pas,2,0.0,0,1,0
pas,"2,4.3.2.1",0.0,0,0,1
pas,2.1,0.0,0,1,18
pas,"2.2,3",0.0,0,0,1
pas,"2.2,4.3.2.1",0.0,0,0,1
pas,2.2.1,0.3778337531486146,6,44,1538
pas,"2.2.1,1.2.2",0.0,0,0,1
pas,"2.2.1,3",0.0,0,1,1
pas,"2.2.1,4",0.0,0,0,3
pas,"2.2.1,4.1.1.1",0.0,0,0,1
pas,"2.2.1,4.1.1.3",0.0,0,0,1
pas,"2.2.1,4.3.2.1",0.0,0,0,1
pas,"2.2.1,4.3.4.2",0.0,0,0,1
pas,"2.2.1,4.8",0.0,0,0,2
pas,"2.2.1,6,BOV_AFRI",0.0,0,0,1
pas,"2.2.1,BOV_AFRI",0.0,0,0,1
pas,2.2.1.1,0.0,0,5,166
pas,2.2.1.2,0.0,0,0,24
pas,2.2.2,12.698412698412698,16,11,99
pas,3,0.0,0,7,1252
pas,"3,4",0.0,0,0,1
pas,3.1.1,0.0,0,1,137
pas,3.1.2,0.0,0,1,75
pas,3.1.2.1,0.0,0,1,48
pas,3.1.2.2,0.0,0,0,17
pas,"3.1.2.2,1.1.1",0.0,0,0,1
pas,4,0.0,0,5,43
pas,4.1,0.0,0,8,54
pas,"4.1,1.2.2",0.0,0,0,1
pas,"4.1,2.2.1,4.8",0.0,0,0,1
pas,4.1.1,0.0,0,2,43
pas,4.1.1.1,0.0,0,5,169
pas,"4.1.1.1,2.2",0.0,0,0,1
pas,4.1.1.2,0.0,0,0,46
pas,4.1.1.3,0.0,0,3,282
pas,4.1.2,0.0,0,3,109
pas,"4.1.2,1.2.2",0.0,0,0,1
pas,"4.1.2,4.2.2",0.0,0,0,1
pas,4.1.2.1,0.0,0,10,655
pas,"4.1.2.1,2.2.1",0.0,0,1,2
pas,"4.1.2.1,3",0.0,0,0,1
pas,"4.1.2.1,4.4.1",0.0,0,0,1
pas,"4.1.2.1,4.7",0.0,0,0,1
pas,4.2.1,0.0,0,0,161
pas,"4.2.1,4.7",0.0,0,0,1
pas,4.2.2,0.0,0,1,101
pas,4.2.2.1,0.0,0,1,26
pas,4.3,0.0,0,0,4
pas,"4.3,2.2.1",0.0,0,0,1
pas,4.3.1,0.0,0,0,38
pas,4.3.2,0.0,0,0,78
pas,4.3.2.1,0.0,0,0,300
pas,"4.3.2.1,4.3.4",0.0,0,0,1
pas,4.3.3,0.0,0,7,358
pas,"4.3.3,1.1.3",0.0,0,0,1
pas,"4.3.3,2.2.1",0.0,0,1,1
pas,"4.3.3,3.1.1",0.0,0,0,1
pas,"4.3.3,4.1.1",0.0,0,0,1
pas,"4.3.3,4.1.2",0.0,0,0,3
pas,"4.3.3,4.3.2.1",0.0,0,0,2
pas,4.3.4,0.0,0,0,2
pas,4.3.4.1,0.0,0,2,58
pas,4.3.4.2,0.0,0,2,128
pas,"4.3.4.2,3.1.2.1",0.0,0,1,0
pas,4.3.4.2.1,0.7874015748031497,1,0,126
pas,"4.3.4.2.1,1.1.2",0.0,0,0,1
pas,4.4,0.0,0,0,8
pas,4.4.1.1,0.0,0,6,370
pas,"4.4.1.1,3",0.0,0,0,2
pas,"4.4.1.1,4.1.2",0.0,0,0,4
pas,"4.4.1.1,4.3.3",0.0,0,0,1
pas,"4.4.1.1,4.3.4.2.1",0.0,0,0,3
pas,"4.4.1.1,4.6.1.2",0.0,0,1,0
pas,4.4.1.2,0.0,0,0,90
pas,4.4.2,0.0,0,1,22
pas,4.5,2.2222222222222223,2,7,81
pas,"4.5,1.1.2",0.0,0,0,1
pas,"4.5,1.2.1",0.0,0,0,2
pas,4.6,0.0,0,0,9
pas,4.6.1.1,0.0,0,5,6
pas,4.6.1.2,0.0,0,6,13
pas,4.6.2,0.0,0,0,28
pas,4.6.2.1,0.0,0,0,8
pas,4.6.2.2,0.0,0,2,65
pas,4.7,0.0,0,0,66
pas,4.8,0.0,0,12,528
pas,"4.8,4.1.1.3",0.0,0,0,2
pas,"4.8,4.3.4.1",0.0,0,0,2
pas,4.9,0.0,0,2,133
pas,5,0.0,0,0,15
pas,"5,6,BOV_AFRI",0.0,0,0,1
pas,6,0.0,0,0,2
pas,"6,BOV_AFRI",0.0,0,5,31
pas,BOV_AFRI,0.0,0,2,83
pza,1,0.0,0,3,0
pza,"1,2.2.1",0.0,0,0,1
pza,1.1,0.0,0,0,1
pza,1.1.1,8.333333333333334,3,14,19
pza,1.1.1.1,10.0,2,8,10
pza,1.1.2,6.617647058823529,18,106,148
pza,"1.1.2,1.2.2",0.0,0,0,1
pza,"1.1.2,3",0.0,0,0,2
pza,"1.1.2,4",50.0,3,1,2
pza,"1.1.2,4.3.2.1",0.0,0,0,1
pza,"1.1.2,4.4",0.0,0,1,0
pza,1.1.3,1.6129032258064515,5,59,246
pza,"1.1.3,1.1.2",0.0,0,0,3
pza,"1.1.3,2.2.1.2",0.0,0,0,1
pza,"1.1.3,3",0.0,0,0,1
pza,"1.1.3,4.1.1.1",0.0,0,0,1
pza,"1.1.3,4.5",0.0,0,0,1
pza,1.2.1,1.0909090909090908,3,114,158
pza,1.2.2,10.040160642570282,25,86,138
pza,"1.2.2,3.1.2",0.0,0,0,1
pza,2,0.0,0,0,1
pza,"2,4.3.2.1",0.0,0,1,0
pza,2.1,5.2631578947368425,1,4,14
pza,"2.2,3",0.0,0,1,0
pza,"2.2,4.3.2.1",0.0,0,0,1
pza,2.2.1,13.727959697732997,218,740,630
pza,"2.2.1,1.2.2",0.0,0,0,1
pza,"2.2.1,3",0.0,0,1,1
pza,"2.2.1,4",33.333333333333336,1,1,1
pza,"2.2.1,4.1.1.1",0.0,0,1,0
pza,"2.2.1,4.1.1.3",0.0,0,1,0
pza,"2.2.1,4.3.2.1",0.0,0,0,1
pza,"2.2.1,4.3.4.2",0.0,0,0,1
pza,"2.2.1,4.8",0.0,0,1,1
pza,"2.2.1,6,BOV_AFRI",0.0,0,1,0
pza,"2.2.1,BOV_AFRI",0.0,0,1,0
pza,2.2.1.1,13.450292397660819,23,88,60
pza,2.2.1.2,20.833333333333332,5,10,9
