Drug,Lineage,Percentage of Strains that are Resistant,Number of Resistant Strains,Number of Susceptible Strains,No Results
cap,"1.1.2,1.2.2",0.0,0,0,1
cap,"1.1.2,3",0.0,0,2,0
cap,"1.1.2,4",0.0,0,4,2
cap,"1.1.2,4.3.2.1",0.0,0,0,1
cap,"1.1.2,4.4",0.0,0,0,1
cap,1.1.3,0.0,0,4,306
cap,"1.1.3,1.1.2",0.0,0,0,3
cap,"1.1.3,2.2.1.2",0.0,0,0,1
cap,"1.1.3,3",0.0,0,0,1
cap,"1.1.3,4.1.1.1",0.0,0,0,1
cap,"1.1.3,4.5",0.0,0,0,1
cap,1.2.1,0.0,0,6,269
cap,1.2.2,0.8032128514056225,2,15,232
cap,"1.2.2,3.1.2",0.0,0,0,1
cap,2,0.0,0,0,1
cap,"2,4.3.2.1",0.0,0,1,0
cap,2.1,0.0,0,1,18
cap,"2.2,3",0.0,0,0,1
cap,"2.2,4.3.2.1",0.0,0,0,1
cap,2.2.1,0.9445843828715366,15,400,1173
cap,"2.2.1,1.2.2",0.0,0,0,1
cap,"2.2.1,3",0.0,0,0,2
cap,"2.2.1,4",0.0,0,1,2
cap,"2.2.1,4.1.1.1",0.0,0,0,1
cap,"2.2.1,4.1.1.3",0.0,0,0,1
cap,"2.2.1,4.3.2.1",0.0,0,0,1
cap,"2.2.1,4.3.4.2",0.0,0,0,1
cap,"2.2.1,4.8",0.0,0,0,2
cap,"2.2.1,6,BOV_AFRI",0.0,0,0,1
cap,"2.2.1,BOV_AFRI",0.0,0,0,1
cap,2.2.1.1,0.0,0,51,120
cap,2.2.1.2,0.0,0,0,24
cap,2.2.2,2.380952380952381,3,15,108
cap,3,0.3971405877680699,5,137,1117
cap,"3,4",0.0,0,0,1
cap,3.1.1,0.0,0,21,117
cap,3.1.2,0.0,0,6,70
cap,3.1.2.1,0.0,0,3,46
cap,3.1.2.2,0.0,0,0,17
cap,"3.1.2.2,1.1.1",0.0,0,0,1
cap,4,0.0,0,3,45
cap,4.1,0.0,0,12,50
cap,"4.1,1.2.2",0.0,0,0,1
cap,"4.1,2.2.1,4.8",0.0,0,0,1
cap,4.1.1,0.0,0,14,31
cap,4.1.1.1,0.0,0,31,143
cap,"4.1.1.1,2.2",0.0,0,0,1
cap,4.1.1.2,0.0,0,6,40
cap,4.1.1.3,0.0,0,78,207
cap,4.1.2,0.8928571428571429,1,34,77
cap,"4.1.2,1.2.2",0.0,0,0,1
cap,"4.1.2,4.2.2",0.0,0,1,0
cap,4.1.2.1,0.0,0,72,593
cap,"4.1.2.1,2.2.1",33.333333333333336,1,1,1
cap,"4.1.2.1,3",0.0,0,0,1
cap,"4.1.2.1,4.4.1",0.0,0,0,1
cap,"4.1.2.1,4.7",0.0,0,0,1
cap,4.2.1,0.0,0,1,160
cap,"4.2.1,4.7",0.0,0,0,1
cap,4.2.2,0.9803921568627451,1,4,97
cap,4.2.2.1,0.0,0,1,26
cap,4.3,0.0,0,0,4
cap,"4.3,2.2.1",0.0,0,0,1
cap,4.3.1,0.0,0,1,37
cap,4.3.2,1.2820512820512822,1,13,64
cap,4.3.2.1,0.6666666666666666,2,178,120
cap,"4.3.2.1,4.3.4",0.0,0,1,0
cap,4.3.3,1.36986301369863,5,68,292
cap,"4.3.3,1.1.3",0.0,0,0,1
cap,"4.3.3,2.2.1",50.0,1,0,1
cap,"4.3.3,3.1.1",0.0,0,0,1
cap,"4.3.3,4.1.1",0.0,0,1,0
cap,"4.3.3,4.1.2",0.0,0,1,2
cap,"4.3.3,4.3.2.1",50.0,1,0,1
cap,4.3.4,0.0,0,0,2
cap,4.3.4.1,0.0,0,11,49
cap,4.3.4.2,0.0,0,12,118
cap,"4.3.4.2,3.1.2.1",0.0,0,0,1
cap,4.3.4.2.1,0.0,0,57,70
cap,"4.3.4.2.1,1.1.2",0.0,0,0,1
cap,4.4,0.0,0,1,7
cap,4.4.1.1,0.5319148936170213,2,132,242
cap,"4.4.1.1,3",0.0,0,2,0
cap,"4.4.1.1,4.1.2",0.0,0,2,2
cap,"4.4.1.1,4.3.3",0.0,0,1,0
cap,"4.4.1.1,4.3.4.2.1",0.0,0,1,2
cap,"4.4.1.1,4.6.1.2",0.0,0,0,1
cap,4.4.1.2,0.0,0,0,90
cap,4.4.2,0.0,0,5,18
cap,4.5,0.0,0,5,85
cap,"4.5,1.1.2",0.0,0,0,1
cap,"4.5,1.2.1",0.0,0,0,2
cap,4.6,0.0,0,0,9
cap,4.6.1.1,0.0,0,2,9
cap,4.6.1.2,0.0,0,2,17
cap,4.6.2,0.0,0,2,26
cap,4.6.2.1,0.0,0,0,8
cap,4.6.2.2,0.0,0,2,65
cap,4.7,0.0,0,9,57
cap,4.8,0.18518518518518517,1,96,443
cap,"4.8,4.1.1.3",0.0,0,1,1
cap,"4.8,4.3.4.1",0.0,0,0,2
cap,4.9,0.0,0,36,99
cap,5,0.0,0,0,15
cap,"5,6,BOV_AFRI",0.0,0,0,1
cap,6,0.0,0,0,2
cap,"6,BOV_AFRI",0.0,0,5,31
cap,BOV_AFRI,0.0,0,2,83
cip,1,0.0,0,0,3
cip,"1,2.2.1",0.0,0,0,1
cip,1.1,0.0,0,0,1
cip,1.1.1,0.0,0,0,36
cip,1.1.1.1,0.0,0,0,20
cip,1.1.2,0.0,0,1,271
cip,"1.1.2,1.2.2",0.0,0,0,1
cip,"1.1.2,3",0.0,0,0,2
cip,"1.1.2,4",0.0,0,0,6
cip,"1.1.2,4.3.2.1",0.0,0,0,1
cip,"1.1.2,4.4",0.0,0,0,1
cip,1.1.3,0.0,0,0,310
cip,"1.1.3,1.1.2",0.0,0,0,3
cip,"1.1.3,2.2.1.2",0.0,0,0,1
cip,"1.1.3,3",0.0,0,0,1
cip,"1.1.3,4.1.1.1",0.0,0,0,1
cip,"1.1.3,4.5",0.0,0,0,1
cip,1.2.1,0.0,0,0,275
cip,1.2.2,0.0,0,0,249
cip,"1.2.2,3.1.2",0.0,0,0,1
cip,2,0.0,0,0,1
cip,"2,4.3.2.1",0.0,0,0,1
cip,2.1,0.0,0,0,19
cip,"2.2,3",0.0,0,0,1
cip,"2.2,4.3.2.1",0.0,0,0,1
cip,2.2.1,0.0,0,2,1586
cip,"2.2.1,1.2.2",0.0,0,0,1
cip,"2.2.1,3",0.0,0,0,2
cip,"2.2.1,4",0.0,0,0,3
cip,"2.2.1,4.1.1.1",0.0,0,0,1
cip,"2.2.1,4.1.1.3",0.0,0,0,1
cip,"2.2.1,4.3.2.1",0.0,0,0,1
cip,"2.2.1,4.3.4.2",0.0,0,0,1
cip,"2.2.1,4.8",0.0,0,0,2
cip,"2.2.1,6,BOV_AFRI",0.0,0,0,1
cip,"2.2.1,BOV_AFRI",0.0,0,0,1
cip,2.2.1.1,0.0,0,0,171
cip,2.2.1.2,0.0,0,0,24
cip,2.2.2,0.7936507936507936,1,0,125
cip,3,0.0,0,0,1259
cip,"3,4",0.0,0,0,1
cip,3.1.1,0.0,0,2,136
cip,3.1.2,0.0,0,0,76
cip,3.1.2.1,0.0,0,0,49
cip,3.1.2.2,0.0,0,0,17
cip,"3.1.2.2,1.1.1",0.0,0,0,1
cip,4,0.0,0,0,48
cip,4.1,0.0,0,0,62
cip,"4.1,1.2.2",0.0,0,0,1
cip,"4.1,2.2.1,4.8",0.0,0,0,1
cip,4.1.1,0.0,0,0,45
cip,4.1.1.1,0.0,0,1,173
cip,"4.1.1.1,2.2",0.0,0,1,0
cip,4.1.1.2,0.0,0,0,46
cip,4.1.1.3,0.3508771929824561,1,4,280
cip,4.1.2,0.0,0,0,112
cip,"4.1.2,1.2.2",0.0,0,0,1
cip,"4.1.2,4.2.2",0.0,0,0,1
cip,4.1.2.1,0.0,0,0,665
cip,"4.1.2.1,2.2.1",0.0,0,0,3
cip,"4.1.2.1,3",0.0,0,0,1
cip,"4.1.2.1,4.4.1",0.0,0,0,1
cip,"4.1.2.1,4.7",0.0,0,0,1
cip,4.2.1,0.0,0,0,161
cip,"4.2.1,4.7",0.0,0,0,1
cip,4.2.2,0.0,0,0,102
cip,4.2.2.1,0.0,0,0,27
cip,4.3,0.0,0,0,4
cip,"4.3,2.2.1",0.0,0,0,1
cip,4.3.1,0.0,0,0,38
cip,4.3.2,0.0,0,0,78
cip,4.3.2.1,0.0,0,0,300
cip,"4.3.2.1,4.3.4",0.0,0,0,1
cip,4.3.3,0.273972602739726,1,2,362
cip,"4.3.3,1.1.3",0.0,0,0,1
cip,"4.3.3,2.2.1",0.0,0,0,2
