,Drug,Lineage,Percentage of Strains that are Resistant,Number of Resistant Strains,Number of Susceptible Strains
980,inh,4.2.1.2.2.1.2,0.0,0,2
981,inh,4.2.1.2.2.1.2(1/1),18.181818181818183,4,18
982,inh,4.2.1.2.2.2(1/1),17.96875,23,105
983,inh,"4.2.1.2.2.2(1/1),4.2.1.1.1.2.2.1(1/1)",0.0,0,1
984,inh,4.2.2(1/1),80.0,24,6
985,inh,"4.2.2(1/1),2.2.1.1.1.i3(1/1)",100.0,1,0
986,inh,4.2.2.1,50.0,1,1
987,inh,4.2.2.1(1/1),29.62962962962963,8,19
988,inh,"4.2.2.2(1/1),2.2.1.1.1.i3(1/1)",100.0,1,0
989,inh,4.2.2.2.1(1/1),90.22556390977444,360,39
990,inh,"4.2.2.2.1(1/1),2.2.1.1.1(1/1)",100.0,3,0
991,inh,"4.2.2.2.1(1/1),2.2.1.1.1.i3(1/1)",100.0,9,0
992,inh,"4.2.2.2.1(1/1),4.2.1.1.1.2.1.1.1(1/1)",0.0,0,1
993,inh,"4.2.2.2.1(1/1),4.2.1.2.1.1.i4.1(1/1)",100.0,2,0
994,inh,4.2.2.2.2(1/1),13.836477987421384,22,137
995,inh,"4.2.2.2.2(1/1),2.2.1.1.1.i3(1/1)",100.0,2,0
996,inh,"4.2.2.2.2(1/1),4.2.1.1.1.1.1.1.i1(1/1)",0.0,0,1
997,inh,"4.2.2.2.2(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
998,inh,5(1/1),0.0,0,1
999,inh,6(1/1),40.0,2,3
1000,inh,nan,75.0,21,7
1001,inh,unfilled,82.43243243243244,61,13
1002,kan,1.1(1/1),0.0,0,3
1003,kan,"1.1(1/1),4(1/1)",0.0,0,1
1004,kan,1.1.1.1.1(1/1),0.0,0,28
1005,kan,"1.1.1.1.1(1/1),2.2.1.1.1(1/1)",0.0,0,3
1006,kan,"1.1.1.1.2(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1007,kan,1.1.1.2(1/1),0.0,0,55
1008,kan,"1.1.1.2(1/1),3.1.1.i1(1/1)",0.0,0,1
1009,kan,"1.1.1.2(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1010,kan,"1.1.1.2.i1(1/1),2.2.1.1.1.i3(1/1)",0.0,0,1
1011,kan,1.1.2,0.0,0,2
1012,kan,1.1.2(1/1),3.592814371257485,6,161
1013,kan,"1.1.2(1/1),2.2.1.1.1(1/1)",0.0,0,2
1014,kan,"1.1.2(1/1),4(1/1)",0.0,0,1
1015,kan,1.2.1.1.1(1/1),6.896551724137931,2,27
1016,kan,1.2.1.1.2(1/1),0.0,0,7
1017,kan,1.2.1.2(1/1),0.0,0,1
1018,kan,"1.2.2(1/1),4(1/1)",0.0,0,2
1019,kan,"1.2.2(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1020,kan,1.2.2.1,0.0,0,2
1021,kan,1.2.2.1(1/1),0.0,0,72
1022,kan,"1.2.2.1(1/1),1.1.2(1/1)",0.0,0,1
1023,kan,"1.2.2.1(1/1),2.2.1.1.1(1/1)",0.0,0,1
1024,kan,"1.2.2.1(1/1),4(1/1)",0.0,0,1
1025,kan,"1.2.2.1(1/1),4.2.1.2.1.1.i3.1(1/1),4.1.i1.1.1.1(1/1),2.2.1.1.1(1/1),4.2.1.2.1.1.i3.2(1/1),4.1.i1.1.2(1/1),1.1.1.2.i1(1/1),3.1.1.i1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1026,kan,1.2.2.2,0.0,0,15
1027,kan,1.2.2.2(1/1),0.0,0,4
1028,kan,2.1(1/1),20.0,1,4
1029,kan,2.2.1,0.0,0,1
1030,kan,2.2.1(1/1),0.0,0,2
1031,kan,2.2.1.1(1/1),0.0,0,2
1032,kan,"2.2.1.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,3
1033,kan,"2.2.1.1(1/1),4.2.2.2.1(1/1)",0.0,0,1
1034,kan,2.2.1.1.1,8.695652173913043,2,21
1035,kan,2.2.1.1.1(1/1),4.794229953330505,113,2244
1036,kan,"2.2.1.1.1(1/1),2.2.1.1.2(1/1)",100.0,1,0
1037,kan,"2.2.1.1.1(1/1),3.1.1.i1(1/1)",0.0,0,1
1038,kan,"2.2.1.1.1(1/1),4(1/1)",50.0,1,1
1039,kan,"2.2.1.1.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1040,kan,"2.2.1.1.1(1/1),4.2.1.2.1.1(1/1)",0.0,0,1
1041,kan,"2.2.1.1.1(1/1),4.2.1.2.1.1.i1(1/1)",0.0,0,6
1042,kan,2.2.1.1.1.i1(1/1),0.0,0,9
1043,kan,2.2.1.1.1.i2(1/1),20.0,2,8
1044,kan,2.2.1.1.1.i3(1/1),4.263565891472868,33,741
1045,kan,2.2.1.1.2,0.0,0,1
1046,kan,2.2.1.1.2(1/1),1.3513513513513513,1,73
1047,kan,2.2.1.2(1/1),57.142857142857146,4,3
1048,kan,"2.2.1.2(1/1),3.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1049,kan,2.2.2,80.3921568627451,41,10
1050,kan,2.2.2(1/1),44.5,89,111
1051,kan,"2.2.2(1/1),3.2.2(1/1)",0.0,0,1
1052,kan,"2.2.2,2.2.1.1.1",0.0,0,1
1053,kan,3(1/1),0.0,0,3
1054,kan,"3(1/1),4(1/1)",0.0,0,1
1055,kan,"3(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1056,kan,3.1(1/1),0.0,0,5
1057,kan,"3.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1058,kan,3.1.1,0.0,0,3
1059,kan,3.1.1(1/1),11.811023622047244,30,224
1060,kan,"3.1.1(1/1),2.2.1.1.1(1/1)",66.66666666666667,2,1
1061,kan,"3.1.1(1/1),4.1.i1.1.1.1(1/1)",0.0,0,1
1062,kan,"3.1.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1063,kan,"3.1.1(1/1),4.2.1.1.1.2.1.1(1/1)",0.0,0,1
1064,kan,3.1.1.i1,0.0,0,1
1065,kan,3.1.1.i1(1/1),3.7037037037037037,1,26
1066,kan,3.1.1.i2(1/1),6.521739130434782,3,43
1067,kan,3.1.2(1/1),0.0,0,4
1068,kan,3.2(1/1),0.0,0,1
1069,kan,3.2.1(1/1),0.0,0,2
1070,kan,3.2.2(1/1),0.0,0,4
1071,kan,4,0.0,0,1
1072,kan,4(1/1),4.615384615384615,3,62
1073,kan,4.1(1/1),0.0,0,1
1074,kan,4.1.i1.1.1(1/1),0.0,0,2
1075,kan,4.1.i1.1.1.1,0.0,0,9
1076,kan,4.1.i1.1.1.1(1/1),4.208416833667335,21,478
1077,kan,"4.1.i1.1.1.1(1/1),2.2.1.1.1(1/1)",0.0,0,5
1078,kan,"4.1.i1.1.1.1(1/1),2.2.1.1.1.i3(1/1)",0.0,0,3
1079,kan,"4.1.i1.1.1.1(1/1),4.2.1.2.1.1.i4.1(1/1)",0.0,0,3
1080,kan,"4.1.i1.1.1.1(1/1),4.2.1.2.2.1(1/1)",0.0,0,1
1081,kan,"4.1.i1.1.1.1(1/1),4.2.2.2.1(1/1)",0.0,0,1
1082,kan,4.1.i1.1.1.2(1/1),0.0,0,7
1083,kan,4.1.i1.1.2(1/1),0.0,0,5
1084,kan,4.1.i1.2.1,0.0,0,31
1085,kan,4.1.i1.2.1(1/1),6.565656565656566,13,185
1086,kan,"4.1.i1.2.1(1/1),2.2.1.1.1(1/1)",0.0,0,3
1087,kan,4.1.i1.2.2(1/1),0.0,0,5
1088,kan,4.1.i2.1(1/1),0.0,0,21
1089,kan,"4.1.i2.1(1/1),4.2.1.2.1.1.i1(1/1)",0.0,0,1
1090,kan,4.1.i2.2(1/1),0.0,0,2
1091,kan,4.2.1.1.1.1.1.1.i1,0.0,0,4
1092,kan,4.2.1.1.1.1.1.1.i1(1/1),2.7613412228796843,14,493
1093,kan,"4.2.1.1.1.1.1.1.i1(1/1),1.2.1.1.1(1/1)",0.0,0,1
1094,kan,"4.2.1.1.1.1.1.1.i1(1/1),2.2(1/1)",0.0,0,1
1095,kan,"4.2.1.1.1.1.1.1.i1(1/1),2.2.1(1/1)",0.0,0,1
1096,kan,"4.2.1.1.1.1.1.1.i1(1/1),2.2.1.1.1(1/1)",0.0,0,1
1097,kan,"4.2.1.1.1.1.1.1.i1(1/1),2.2.1.1.1.i3(1/1)",0.0,0,7
1098,kan,"4.2.1.1.1.1.1.1.i1(1/1),4.1.i1.1.1.1(1/1)",0.0,0,4
1099,kan,"4.2.1.1.1.1.1.1.i1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1100,kan,"4.2.1.1.1.1.1.1.i1(1/1),4.2.1.2.1.1.i1(1/1)",0.0,0,2
1101,kan,"4.2.1.1.1.1.1.1.i1(1/1),4.2.1.2.1.1.i4.1(1/1)",0.0,0,2
1102,kan,"4.2.1.1.1.1.1.1.i1(1/1),4.2.2(1/1)",0.0,0,1
1103,kan,"4.2.1.1.1.1.1.1.i1(1/1),4.2.2.2.1(1/1),2.2.1.1.1.i3(1/1)",0.0,0,1
1104,kan,4.2.1.1.1.1.1.1.i2,0.0,0,13
1105,kan,4.2.1.1.1.1.1.1.i2(1/1),3.3333333333333335,3,87
1106,kan,4.2.1.1.1.1.1.2(1/1),0.0,0,1
1107,kan,4.2.1.1.1.1.2(1/1),5.555555555555555,2,34
1108,kan,4.2.1.1.1.2.1.1.1.1.1(1/1),0.0,0,21
1109,kan,4.2.1.1.1.2.1.1.1.1.2(1/1),10.0,1,9
1110,kan,4.2.1.1.1.2.1.1.2(1/1),0.0,0,29
1111,kan,4.2.1.1.1.2.1.2(1/1),0.0,0,2
1112,kan,"4.2.1.1.1.2.2(1/1),3.1.1.i1(1/1)",0.0,0,1
1113,kan,4.2.1.1.1.2.2.1.1.1.1(1/1),0.0,0,8
1114,kan,4.2.1.1.1.2.2.1.1.1.2(1/1),12.5,1,7
1115,kan,"4.2.1.1.1.2.2.1.1.1.2(1/1),4.2.1.1.1.2.2.1.2(1/1),1.1.1.2.i1(1/1),3.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1116,kan,4.2.1.1.1.2.2.1.1.2(1/1),0.0,0,3
1117,kan,4.2.1.1.1.2.2.1.2(1/1),12.5,1,7
1118,kan,"4.2.1.1.1.2.2.1.2(1/1),4.2.1.2.1.1.i3.2(1/1)",0.0,0,1
