,Drug,Lineage,Percentage of Strains that are Resistant,Number of Resistant Strains,Number of Susceptible Strains
1259,levo,4.2.1.1.1.1.1.1.i1(1/1),3.9447731755424065,20,487
1260,levo,"4.2.1.1.1.1.1.1.i1(1/1),1.2.1.1.1(1/1)",0.0,0,1
1261,levo,"4.2.1.1.1.1.1.1.i1(1/1),2.2(1/1)",0.0,0,1
1262,levo,"4.2.1.1.1.1.1.1.i1(1/1),2.2.1(1/1)",0.0,0,1
1263,levo,"4.2.1.1.1.1.1.1.i1(1/1),2.2.1.1.1(1/1)",0.0,0,1
1264,levo,"4.2.1.1.1.1.1.1.i1(1/1),2.2.1.1.1.i3(1/1)",0.0,0,7
1265,levo,"4.2.1.1.1.1.1.1.i1(1/1),4.1.i1.1.1.1(1/1)",0.0,0,4
1266,levo,"4.2.1.1.1.1.1.1.i1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1267,levo,"4.2.1.1.1.1.1.1.i1(1/1),4.2.1.2.1.1.i1(1/1)",0.0,0,2
1268,levo,"4.2.1.1.1.1.1.1.i1(1/1),4.2.1.2.1.1.i4.1(1/1)",0.0,0,2
1269,levo,"4.2.1.1.1.1.1.1.i1(1/1),4.2.2(1/1)",0.0,0,1
1270,levo,"4.2.1.1.1.1.1.1.i1(1/1),4.2.2.2.1(1/1),2.2.1.1.1.i3(1/1)",0.0,0,1
1271,levo,4.2.1.1.1.1.1.1.i2,0.0,0,13
1272,levo,4.2.1.1.1.1.1.1.i2(1/1),8.88888888888889,8,82
1273,levo,4.2.1.1.1.1.1.2(1/1),0.0,0,1
1274,levo,4.2.1.1.1.1.2(1/1),0.0,0,36
1275,levo,4.2.1.1.1.2.1.1.1.1.1(1/1),4.761904761904762,1,20
1276,levo,4.2.1.1.1.2.1.1.1.1.2(1/1),0.0,0,10
1277,levo,4.2.1.1.1.2.1.1.2(1/1),0.0,0,29
1278,levo,4.2.1.1.1.2.1.2(1/1),0.0,0,2
1279,levo,"4.2.1.1.1.2.2(1/1),3.1.1.i1(1/1)",0.0,0,1
1280,levo,4.2.1.1.1.2.2.1.1.1.1(1/1),0.0,0,8
1281,levo,4.2.1.1.1.2.2.1.1.1.2(1/1),0.0,0,8
1282,levo,"4.2.1.1.1.2.2.1.1.1.2(1/1),4.2.1.1.1.2.2.1.2(1/1),1.1.1.2.i1(1/1),3.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1283,levo,4.2.1.1.1.2.2.1.1.2(1/1),0.0,0,3
1284,levo,4.2.1.1.1.2.2.1.2(1/1),25.0,2,6
1285,levo,"4.2.1.1.1.2.2.1.2(1/1),4.2.1.2.1.1.i3.2(1/1)",100.0,1,0
1286,levo,4.2.1.1.1.2.2.2(1/1),0.0,0,1
1287,levo,4.2.1.1.2,0.0,0,1
1288,levo,4.2.1.1.2(1/1),4.6875,6,122
1289,levo,"4.2.1.1.2(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,2
1290,levo,4.2.1.2.1.1(1/1),0.0,0,1
1291,levo,4.2.1.2.1.1.i1,0.0,0,6
1292,levo,4.2.1.2.1.1.i1(1/1),3.1746031746031744,4,122
1293,levo,4.2.1.2.1.1.i2,0.0,0,1
1294,levo,4.2.1.2.1.1.i2(1/1),0.0,0,9
1295,levo,4.2.1.2.1.1.i3(1/1),0.0,0,1
1296,levo,4.2.1.2.1.1.i3.1,11.11111111111111,1,8
1297,levo,4.2.1.2.1.1.i3.1(1/1),17.16417910447761,23,111
1298,levo,"4.2.1.2.1.1.i3.1(1/1),2.2.1.1.1(1/1)",100.0,1,0
1299,levo,"4.2.1.2.1.1.i3.1,4.2.1.1.1.1.2,4.1.i1.1.1.1,4.2.1.2.1.1.i4.1,2.2.1.1.1",100.0,1,0
1300,levo,4.2.1.2.1.1.i3.2,0.0,0,2
1301,levo,4.2.1.2.1.1.i3.2(1/1),2.7522935779816513,3,106
1302,levo,"4.2.1.2.1.1.i4(1/1),2.2.1.1.1.i3(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1303,levo,4.2.1.2.1.1.i4.1,30.76923076923077,8,18
1304,levo,4.2.1.2.1.1.i4.1(1/1),13.394495412844037,73,472
1305,levo,"4.2.1.2.1.1.i4.1(1/1),2.2.1.1.1.i3(1/1)",0.0,0,1
1306,levo,"4.2.1.2.1.1.i4.1(1/1),4.1.i1.1(1/1)",0.0,0,1
1307,levo,"4.2.1.2.1.1.i4.1(1/1),4.2.1.2.1.1.i1(1/1)",0.0,0,1
1308,levo,4.2.1.2.1.1.i4.2(1/1),0.0,0,6
1309,levo,4.2.1.2.1.2(1/1),0.0,0,4
1310,levo,"4.2.1.2.1.2(1/1),4.2.1.1.1.2.2.1.1.1.2(1/1),4.1.i1.2.2(1/1),4.1.i1.1(1/1),1.1.1.2.i1(1/1),3.1(1/1),4.2.1.1.1.2.1.1.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1311,levo,4.2.1.2.2.1(1/1),0.0,0,3
1312,levo,4.2.1.2.2.1.1,89.47368421052632,17,2
1313,levo,4.2.1.2.2.1.1(1/1),3.90625,5,123
1314,levo,4.2.1.2.2.1.2,50.0,1,1
1315,levo,4.2.1.2.2.1.2(1/1),0.0,0,22
1316,levo,4.2.1.2.2.2(1/1),3.90625,5,123
1317,levo,"4.2.1.2.2.2(1/1),4.2.1.1.1.2.2.1(1/1)",0.0,0,1
1318,levo,4.2.2(1/1),6.666666666666667,2,28
1319,levo,"4.2.2(1/1),2.2.1.1.1.i3(1/1)",0.0,0,1
1320,levo,4.2.2.1,0.0,0,2
1321,levo,4.2.2.1(1/1),7.407407407407407,2,25
1322,levo,"4.2.2.2(1/1),2.2.1.1.1.i3(1/1)",0.0,0,1
1323,levo,4.2.2.2.1(1/1),13.784461152882205,55,344
1324,levo,"4.2.2.2.1(1/1),2.2.1.1.1(1/1)",0.0,0,3
1325,levo,"4.2.2.2.1(1/1),2.2.1.1.1.i3(1/1)",33.333333333333336,3,6
1326,levo,"4.2.2.2.1(1/1),4.2.1.1.1.2.1.1.1(1/1)",0.0,0,1
1327,levo,"4.2.2.2.1(1/1),4.2.1.2.1.1.i4.1(1/1)",50.0,1,1
1328,levo,4.2.2.2.2(1/1),0.0,0,159
1329,levo,"4.2.2.2.2(1/1),2.2.1.1.1.i3(1/1)",0.0,0,2
1330,levo,"4.2.2.2.2(1/1),4.2.1.1.1.1.1.1.i1(1/1)",0.0,0,1
1331,levo,"4.2.2.2.2(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1332,levo,5(1/1),0.0,0,1
1333,levo,6(1/1),40.0,2,3
1334,levo,nan,0.0,0,28
1335,levo,unfilled,20.27027027027027,15,59
1336,oflx,1.1(1/1),0.0,0,3
1337,oflx,"1.1(1/1),4(1/1)",0.0,0,1
1338,oflx,1.1.1.1.1(1/1),7.142857142857143,2,26
1339,oflx,"1.1.1.1.1(1/1),2.2.1.1.1(1/1)",0.0,0,3
1340,oflx,"1.1.1.1.2(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1341,oflx,1.1.1.2(1/1),0.0,0,55
1342,oflx,"1.1.1.2(1/1),3.1.1.i1(1/1)",0.0,0,1
1343,oflx,"1.1.1.2(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1344,oflx,"1.1.1.2.i1(1/1),2.2.1.1.1.i3(1/1)",0.0,0,1
1345,oflx,1.1.2,0.0,0,2
1346,oflx,1.1.2(1/1),3.592814371257485,6,161
1347,oflx,"1.1.2(1/1),2.2.1.1.1(1/1)",50.0,1,1
1348,oflx,"1.1.2(1/1),4(1/1)",0.0,0,1
1349,oflx,1.2.1.1.1(1/1),0.0,0,29
1350,oflx,1.2.1.1.2(1/1),0.0,0,7
1351,oflx,1.2.1.2(1/1),0.0,0,1
1352,oflx,"1.2.2(1/1),4(1/1)",0.0,0,2
1353,oflx,"1.2.2(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1354,oflx,1.2.2.1,0.0,0,2
1355,oflx,1.2.2.1(1/1),4.166666666666667,3,69
1356,oflx,"1.2.2.1(1/1),1.1.2(1/1)",0.0,0,1
1357,oflx,"1.2.2.1(1/1),2.2.1.1.1(1/1)",100.0,1,0
1358,oflx,"1.2.2.1(1/1),4(1/1)",0.0,0,1
1359,oflx,"1.2.2.1(1/1),4.2.1.2.1.1.i3.1(1/1),4.1.i1.1.1.1(1/1),2.2.1.1.1(1/1),4.2.1.2.1.1.i3.2(1/1),4.1.i1.1.2(1/1),1.1.1.2.i1(1/1),3.1.1.i1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1360,oflx,1.2.2.2,0.0,0,15
1361,oflx,1.2.2.2(1/1),0.0,0,4
1362,oflx,2.1(1/1),40.0,2,3
1363,oflx,2.2.1,0.0,0,1
1364,oflx,2.2.1(1/1),0.0,0,2
1365,oflx,2.2.1.1(1/1),0.0,0,2
1366,oflx,"2.2.1.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",33.333333333333336,1,2
1367,oflx,"2.2.1.1(1/1),4.2.2.2.1(1/1)",100.0,1,0
1368,oflx,2.2.1.1.1,34.78260869565217,8,15
1369,oflx,2.2.1.1.1(1/1),12.388629613915995,292,2065
1370,oflx,"2.2.1.1.1(1/1),2.2.1.1.2(1/1)",0.0,0,1
1371,oflx,"2.2.1.1.1(1/1),3.1.1.i1(1/1)",0.0,0,1
1372,oflx,"2.2.1.1.1(1/1),4(1/1)",50.0,1,1
1373,oflx,"2.2.1.1.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1374,oflx,"2.2.1.1.1(1/1),4.2.1.2.1.1(1/1)",0.0,0,1
1375,oflx,"2.2.1.1.1(1/1),4.2.1.2.1.1.i1(1/1)",0.0,0,6
1376,oflx,2.2.1.1.1.i1(1/1),11.11111111111111,1,8
1377,oflx,2.2.1.1.1.i2(1/1),10.0,1,9
1378,oflx,2.2.1.1.1.i3(1/1),11.24031007751938,87,687
1379,oflx,2.2.1.1.2,0.0,0,1
1380,oflx,2.2.1.1.2(1/1),5.405405405405405,4,70
1381,oflx,2.2.1.2(1/1),0.0,0,7
1382,oflx,"2.2.1.2(1/1),3.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1383,oflx,2.2.2,70.58823529411765,36,15
1384,oflx,2.2.2(1/1),22.0,44,156
1385,oflx,"2.2.2(1/1),3.2.2(1/1)",0.0,0,1
1386,oflx,"2.2.2,2.2.1.1.1",0.0,0,1
1387,oflx,3(1/1),0.0,0,3
1388,oflx,"3(1/1),4(1/1)",0.0,0,1
1389,oflx,"3(1/1),4.2.1.1.1.1.1.1.i2(1/1)",100.0,1,0
1390,oflx,3.1(1/1),0.0,0,5
1391,oflx,"3.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1392,oflx,3.1.1,0.0,0,3
1393,oflx,3.1.1(1/1),12.598425196850394,32,222
1394,oflx,"3.1.1(1/1),2.2.1.1.1(1/1)",33.333333333333336,1,2
1395,oflx,"3.1.1(1/1),4.1.i1.1.1.1(1/1)",0.0,0,1
1396,oflx,"3.1.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1397,oflx,"3.1.1(1/1),4.2.1.1.1.2.1.1(1/1)",0.0,0,1
1398,oflx,3.1.1.i1,0.0,0,1
1399,oflx,3.1.1.i1(1/1),3.7037037037037037,1,26
1400,oflx,3.1.1.i2(1/1),10.869565217391305,5,41
1401,oflx,3.1.2(1/1),0.0,0,4
1402,oflx,3.2(1/1),0.0,0,1
1403,oflx,3.2.1(1/1),0.0,0,2
1404,oflx,3.2.2(1/1),0.0,0,4
1405,oflx,4,0.0,0,1
1406,oflx,4(1/1),9.23076923076923,6,59
1407,oflx,4.1(1/1),0.0,0,1
1408,oflx,4.1.i1.1.1(1/1),0.0,0,2
1409,oflx,4.1.i1.1.1.1,11.11111111111111,1,8
1410,oflx,4.1.i1.1.1.1(1/1),3.8076152304609217,19,480
1411,oflx,"4.1.i1.1.1.1(1/1),2.2.1.1.1(1/1)",0.0,0,5
1412,oflx,"4.1.i1.1.1.1(1/1),2.2.1.1.1.i3(1/1)",0.0,0,3
1413,oflx,"4.1.i1.1.1.1(1/1),4.2.1.2.1.1.i4.1(1/1)",0.0,0,3
1414,oflx,"4.1.i1.1.1.1(1/1),4.2.1.2.2.1(1/1)",0.0,0,1
1415,oflx,"4.1.i1.1.1.1(1/1),4.2.2.2.1(1/1)",0.0,0,1
1416,oflx,4.1.i1.1.1.2(1/1),0.0,0,7
1417,oflx,4.1.i1.1.2(1/1),20.0,1,4
1418,oflx,4.1.i1.2.1,0.0,0,31
1419,oflx,4.1.i1.2.1(1/1),9.090909090909092,18,180
1420,oflx,"4.1.i1.2.1(1/1),2.2.1.1.1(1/1)",0.0,0,3
1421,oflx,4.1.i1.2.2(1/1),0.0,0,5
1422,oflx,4.1.i2.1(1/1),0.0,0,21
1423,oflx,"4.1.i2.1(1/1),4.2.1.2.1.1.i1(1/1)",0.0,0,1
1424,oflx,4.1.i2.2(1/1),0.0,0,2
1425,oflx,4.2.1.1.1.1.1.1.i1,50.0,2,2
1426,oflx,4.2.1.1.1.1.1.1.i1(1/1),3.9447731755424065,20,487
1427,oflx,"4.2.1.1.1.1.1.1.i1(1/1),1.2.1.1.1(1/1)",0.0,0,1
1428,oflx,"4.2.1.1.1.1.1.1.i1(1/1),2.2(1/1)",0.0,0,1
1429,oflx,"4.2.1.1.1.1.1.1.i1(1/1),2.2.1(1/1)",0.0,0,1
1430,oflx,"4.2.1.1.1.1.1.1.i1(1/1),2.2.1.1.1(1/1)",0.0,0,1
1431,oflx,"4.2.1.1.1.1.1.1.i1(1/1),2.2.1.1.1.i3(1/1)",0.0,0,7
1432,oflx,"4.2.1.1.1.1.1.1.i1(1/1),4.1.i1.1.1.1(1/1)",0.0,0,4
1433,oflx,"4.2.1.1.1.1.1.1.i1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1434,oflx,"4.2.1.1.1.1.1.1.i1(1/1),4.2.1.2.1.1.i1(1/1)",0.0,0,2
1435,oflx,"4.2.1.1.1.1.1.1.i1(1/1),4.2.1.2.1.1.i4.1(1/1)",0.0,0,2
1436,oflx,"4.2.1.1.1.1.1.1.i1(1/1),4.2.2(1/1)",0.0,0,1
1437,oflx,"4.2.1.1.1.1.1.1.i1(1/1),4.2.2.2.1(1/1),2.2.1.1.1.i3(1/1)",0.0,0,1
1438,oflx,4.2.1.1.1.1.1.1.i2,0.0,0,13
1439,oflx,4.2.1.1.1.1.1.1.i2(1/1),8.88888888888889,8,82
1440,oflx,4.2.1.1.1.1.1.2(1/1),0.0,0,1
1441,oflx,4.2.1.1.1.1.2(1/1),0.0,0,36
1442,oflx,4.2.1.1.1.2.1.1.1.1.1(1/1),4.761904761904762,1,20
1443,oflx,4.2.1.1.1.2.1.1.1.1.2(1/1),0.0,0,10
1444,oflx,4.2.1.1.1.2.1.1.2(1/1),0.0,0,29
1445,oflx,4.2.1.1.1.2.1.2(1/1),0.0,0,2
1446,oflx,"4.2.1.1.1.2.2(1/1),3.1.1.i1(1/1)",0.0,0,1
1447,oflx,4.2.1.1.1.2.2.1.1.1.1(1/1),0.0,0,8
1448,oflx,4.2.1.1.1.2.2.1.1.1.2(1/1),0.0,0,8
1449,oflx,"4.2.1.1.1.2.2.1.1.1.2(1/1),4.2.1.1.1.2.2.1.2(1/1),1.1.1.2.i1(1/1),3.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1450,oflx,4.2.1.1.1.2.2.1.1.2(1/1),0.0,0,3
1451,oflx,4.2.1.1.1.2.2.1.2(1/1),25.0,2,6
1452,oflx,"4.2.1.1.1.2.2.1.2(1/1),4.2.1.2.1.1.i3.2(1/1)",100.0,1,0
1453,oflx,4.2.1.1.1.2.2.2(1/1),0.0,0,1
1454,oflx,4.2.1.1.2,0.0,0,1
1455,oflx,4.2.1.1.2(1/1),4.6875,6,122
1456,oflx,"4.2.1.1.2(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,2
1457,oflx,4.2.1.2.1.1(1/1),0.0,0,1
1458,oflx,4.2.1.2.1.1.i1,0.0,0,6
1459,oflx,4.2.1.2.1.1.i1(1/1),3.9682539682539684,5,121
1460,oflx,4.2.1.2.1.1.i2,0.0,0,1
1461,oflx,4.2.1.2.1.1.i2(1/1),0.0,0,9
1462,oflx,4.2.1.2.1.1.i3(1/1),0.0,0,1
1463,oflx,4.2.1.2.1.1.i3.1,11.11111111111111,1,8
1464,oflx,4.2.1.2.1.1.i3.1(1/1),17.16417910447761,23,111
1465,oflx,"4.2.1.2.1.1.i3.1(1/1),2.2.1.1.1(1/1)",100.0,1,0
1466,oflx,"4.2.1.2.1.1.i3.1,4.2.1.1.1.1.2,4.1.i1.1.1.1,4.2.1.2.1.1.i4.1,2.2.1.1.1",100.0,1,0
1467,oflx,4.2.1.2.1.1.i3.2,0.0,0,2
1468,oflx,4.2.1.2.1.1.i3.2(1/1),2.7522935779816513,3,106
1469,oflx,"4.2.1.2.1.1.i4(1/1),2.2.1.1.1.i3(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1470,oflx,4.2.1.2.1.1.i4.1,30.76923076923077,8,18
1471,oflx,4.2.1.2.1.1.i4.1(1/1),13.211009174311927,72,473
1472,oflx,"4.2.1.2.1.1.i4.1(1/1),2.2.1.1.1.i3(1/1)",0.0,0,1
1473,oflx,"4.2.1.2.1.1.i4.1(1/1),4.1.i1.1(1/1)",0.0,0,1
1474,oflx,"4.2.1.2.1.1.i4.1(1/1),4.2.1.2.1.1.i1(1/1)",0.0,0,1
1475,oflx,4.2.1.2.1.1.i4.2(1/1),0.0,0,6
1476,oflx,4.2.1.2.1.2(1/1),0.0,0,4
1477,oflx,"4.2.1.2.1.2(1/1),4.2.1.1.1.2.2.1.1.1.2(1/1),4.1.i1.2.2(1/1),4.1.i1.1(1/1),1.1.1.2.i1(1/1),3.1(1/1),4.2.1.1.1.2.1.1.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1478,oflx,4.2.1.2.2.1(1/1),0.0,0,3
1479,oflx,4.2.1.2.2.1.1,89.47368421052632,17,2
1480,oflx,4.2.1.2.2.1.1(1/1),5.46875,7,121
1481,oflx,4.2.1.2.2.1.2,50.0,1,1
1482,oflx,4.2.1.2.2.1.2(1/1),0.0,0,22
1483,oflx,4.2.1.2.2.2(1/1),3.90625,5,123
1484,oflx,"4.2.1.2.2.2(1/1),4.2.1.1.1.2.2.1(1/1)",0.0,0,1
1485,oflx,4.2.2(1/1),6.666666666666667,2,28
1486,oflx,"4.2.2(1/1),2.2.1.1.1.i3(1/1)",0.0,0,1
1487,oflx,4.2.2.1,0.0,0,2
1488,oflx,4.2.2.1(1/1),7.407407407407407,2,25
1489,oflx,"4.2.2.2(1/1),2.2.1.1.1.i3(1/1)",0.0,0,1
1490,oflx,4.2.2.2.1(1/1),13.283208020050125,53,346
1491,oflx,"4.2.2.2.1(1/1),2.2.1.1.1(1/1)",0.0,0,3
1492,oflx,"4.2.2.2.1(1/1),2.2.1.1.1.i3(1/1)",33.333333333333336,3,6
1493,oflx,"4.2.2.2.1(1/1),4.2.1.1.1.2.1.1.1(1/1)",0.0,0,1
1494,oflx,"4.2.2.2.1(1/1),4.2.1.2.1.1.i4.1(1/1)",50.0,1,1
1495,oflx,4.2.2.2.2(1/1),0.0,0,159
1496,oflx,"4.2.2.2.2(1/1),2.2.1.1.1.i3(1/1)",0.0,0,2
1497,oflx,"4.2.2.2.2(1/1),4.2.1.1.1.1.1.1.i1(1/1)",0.0,0,1
1498,oflx,"4.2.2.2.2(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1499,oflx,5(1/1),0.0,0,1
1500,oflx,6(1/1),40.0,2,3
1501,oflx,nan,0.0,0,28
1502,oflx,unfilled,17.56756756756757,13,61
1503,pas,1.1(1/1),0.0,0,3
1504,pas,"1.1(1/1),4(1/1)",0.0,0,1
1505,pas,1.1.1.1.1(1/1),0.0,0,28
1506,pas,"1.1.1.1.1(1/1),2.2.1.1.1(1/1)",0.0,0,3
1507,pas,"1.1.1.1.2(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1508,pas,1.1.1.2(1/1),1.8181818181818181,1,54
1509,pas,"1.1.1.2(1/1),3.1.1.i1(1/1)",0.0,0,1
1510,pas,"1.1.1.2(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1511,pas,"1.1.1.2.i1(1/1),2.2.1.1.1.i3(1/1)",0.0,0,1
1512,pas,1.1.2,0.0,0,2
1513,pas,1.1.2(1/1),0.0,0,167
1514,pas,"1.1.2(1/1),2.2.1.1.1(1/1)",0.0,0,2
1515,pas,"1.1.2(1/1),4(1/1)",0.0,0,1
1516,pas,1.2.1.1.1(1/1),0.0,0,29
1517,pas,1.2.1.1.2(1/1),0.0,0,7
1518,pas,1.2.1.2(1/1),0.0,0,1
1519,pas,"1.2.2(1/1),4(1/1)",0.0,0,2
1520,pas,"1.2.2(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1521,pas,1.2.2.1,0.0,0,2
1522,pas,1.2.2.1(1/1),0.0,0,72
1523,pas,"1.2.2.1(1/1),1.1.2(1/1)",0.0,0,1
1524,pas,"1.2.2.1(1/1),2.2.1.1.1(1/1)",0.0,0,1
1525,pas,"1.2.2.1(1/1),4(1/1)",0.0,0,1
1526,pas,"1.2.2.1(1/1),4.2.1.2.1.1.i3.1(1/1),4.1.i1.1.1.1(1/1),2.2.1.1.1(1/1),4.2.1.2.1.1.i3.2(1/1),4.1.i1.1.2(1/1),1.1.1.2.i1(1/1),3.1.1.i1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1527,pas,1.2.2.2,0.0,0,15
1528,pas,1.2.2.2(1/1),0.0,0,4
1529,pas,2.1(1/1),0.0,0,5
1530,pas,2.2.1,0.0,0,1
1531,pas,2.2.1(1/1),0.0,0,2
1532,pas,2.2.1.1(1/1),0.0,0,2
1533,pas,"2.2.1.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,3
1534,pas,"2.2.1.1(1/1),4.2.2.2.1(1/1)",0.0,0,1
1535,pas,2.2.1.1.1,0.0,0,23
1536,pas,2.2.1.1.1(1/1),0.04242681374628765,1,2356
1537,pas,"2.2.1.1.1(1/1),2.2.1.1.2(1/1)",0.0,0,1
1538,pas,"2.2.1.1.1(1/1),3.1.1.i1(1/1)",0.0,0,1
1539,pas,"2.2.1.1.1(1/1),4(1/1)",0.0,0,2
1540,pas,"2.2.1.1.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1541,pas,"2.2.1.1.1(1/1),4.2.1.2.1.1(1/1)",0.0,0,1
1542,pas,"2.2.1.1.1(1/1),4.2.1.2.1.1.i1(1/1)",0.0,0,6
1543,pas,2.2.1.1.1.i1(1/1),0.0,0,9
1544,pas,2.2.1.1.1.i2(1/1),0.0,0,10
1545,pas,2.2.1.1.1.i3(1/1),0.0,0,774
1546,pas,2.2.1.1.2,0.0,0,1
1547,pas,2.2.1.1.2(1/1),0.0,0,74
1548,pas,2.2.1.2(1/1),0.0,0,7
1549,pas,"2.2.1.2(1/1),3.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1550,pas,2.2.2,0.0,0,51
1551,pas,2.2.2(1/1),1.0,2,198
1552,pas,"2.2.2(1/1),3.2.2(1/1)",0.0,0,1
1553,pas,"2.2.2,2.2.1.1.1",0.0,0,1
1554,pas,3(1/1),0.0,0,3
1555,pas,"3(1/1),4(1/1)",0.0,0,1
1556,pas,"3(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1557,pas,3.1(1/1),0.0,0,5
1558,pas,"3.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1559,pas,3.1.1,0.0,0,3
1560,pas,3.1.1(1/1),0.0,0,254
1561,pas,"3.1.1(1/1),2.2.1.1.1(1/1)",0.0,0,3
1562,pas,"3.1.1(1/1),4.1.i1.1.1.1(1/1)",0.0,0,1
1563,pas,"3.1.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1564,pas,"3.1.1(1/1),4.2.1.1.1.2.1.1(1/1)",0.0,0,1
1565,pas,3.1.1.i1,0.0,0,1
1566,pas,3.1.1.i1(1/1),0.0,0,27
1567,pas,3.1.1.i2(1/1),0.0,0,46
1568,pas,3.1.2(1/1),0.0,0,4
1569,pas,3.2(1/1),0.0,0,1
1570,pas,3.2.1(1/1),0.0,0,2
1571,pas,3.2.2(1/1),0.0,0,4
1572,pas,4,0.0,0,1
1573,pas,4(1/1),0.0,0,65
1574,pas,4.1(1/1),0.0,0,1
1575,pas,4.1.i1.1.1(1/1),0.0,0,2
1576,pas,4.1.i1.1.1.1,11.11111111111111,1,8
1577,pas,4.1.i1.1.1.1(1/1),0.8016032064128257,4,495
1578,pas,"4.1.i1.1.1.1(1/1),2.2.1.1.1(1/1)",0.0,0,5
1579,pas,"4.1.i1.1.1.1(1/1),2.2.1.1.1.i3(1/1)",0.0,0,3
1580,pas,"4.1.i1.1.1.1(1/1),4.2.1.2.1.1.i4.1(1/1)",0.0,0,3
1581,pas,"4.1.i1.1.1.1(1/1),4.2.1.2.2.1(1/1)",0.0,0,1
1582,pas,"4.1.i1.1.1.1(1/1),4.2.2.2.1(1/1)",0.0,0,1
1583,pas,4.1.i1.1.1.2(1/1),0.0,0,7
1584,pas,4.1.i1.1.2(1/1),0.0,0,5
1585,pas,4.1.i1.2.1,0.0,0,31
1586,pas,4.1.i1.2.1(1/1),6.565656565656566,13,185
1587,pas,"4.1.i1.2.1(1/1),2.2.1.1.1(1/1)",0.0,0,3
1588,pas,4.1.i1.2.2(1/1),0.0,0,5
1589,pas,4.1.i2.1(1/1),0.0,0,21
1590,pas,"4.1.i2.1(1/1),4.2.1.2.1.1.i1(1/1)",0.0,0,1
1591,pas,4.1.i2.2(1/1),0.0,0,2
1592,pas,4.2.1.1.1.1.1.1.i1,0.0,0,4
1593,pas,4.2.1.1.1.1.1.1.i1(1/1),1.7751479289940828,9,498
1594,pas,"4.2.1.1.1.1.1.1.i1(1/1),1.2.1.1.1(1/1)",0.0,0,1
1595,pas,"4.2.1.1.1.1.1.1.i1(1/1),2.2(1/1)",0.0,0,1
1596,pas,"4.2.1.1.1.1.1.1.i1(1/1),2.2.1(1/1)",0.0,0,1
1597,pas,"4.2.1.1.1.1.1.1.i1(1/1),2.2.1.1.1(1/1)",0.0,0,1
1598,pas,"4.2.1.1.1.1.1.1.i1(1/1),2.2.1.1.1.i3(1/1)",0.0,0,7
1599,pas,"4.2.1.1.1.1.1.1.i1(1/1),4.1.i1.1.1.1(1/1)",0.0,0,4
1600,pas,"4.2.1.1.1.1.1.1.i1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1601,pas,"4.2.1.1.1.1.1.1.i1(1/1),4.2.1.2.1.1.i1(1/1)",0.0,0,2
1602,pas,"4.2.1.1.1.1.1.1.i1(1/1),4.2.1.2.1.1.i4.1(1/1)",0.0,0,2
1603,pas,"4.2.1.1.1.1.1.1.i1(1/1),4.2.2(1/1)",0.0,0,1
1604,pas,"4.2.1.1.1.1.1.1.i1(1/1),4.2.2.2.1(1/1),2.2.1.1.1.i3(1/1)",0.0,0,1
1605,pas,4.2.1.1.1.1.1.1.i2,0.0,0,13
1606,pas,4.2.1.1.1.1.1.1.i2(1/1),0.0,0,90
